Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTS/G
1,Atlanta Hawks,82,19830,3163,6843,.462,654,1793,.365,2509,5050,.497,1341,1793,.748,882,2688,3570,1901,672,354,1247,1643,8321,101.5
2,Boston Celtics,82,19730,3101,6675,.465,539,1553,.347,2562,5122,.500,1517,1993,.761,871,2596,3467,1813,609,373,1168,1564,8258,100.7
3,Brooklyn Nets,82,19880,2980,6511,.458,662,1802,.367,2318,4709,.492,1539,2026,.760,921,2594,3515,1723,608,337,1296,1704,8161,99.5
4,Charlotte Bobcats,82,19905,3022,6838,.442,665,1800,.369,2357,5038,.468,1251,1649,.759,785,2766,3551,1718,514,415,1090,1716,7960,97.1
5,Chicago Bulls,82,19930,2867,6660,.430,538,1532,.351,2329,5128,.454,1256,1668,.753,876,2508,3384,1604,621,490,1178,1714,7528,91.8
6,Cleveland Cavaliers,82,19930,3097,6847,.452,765,2083,.367,2332,4764,.490,1365,1803,.757,841,2648,3489,2037,587,461,1144,1599,8324,101.5
7,Dallas Mavericks,82,19830,3096,6673,.464,678,1888,.359,2418,4785,.505,1530,2019,.758,943,2569,3512,1808,635,288,1312,1633,8400,102.4
8,Denver Nuggets,82,19755,3238,7086,.457,605,1724,.351,2633,5362,.491,1654,2168,.763,930,2665,3595,1843,694,459,1178,1778,8735,106.5
9,Detroit Pistons,82,19780,3208,6820,.470,683,1872,.365,2525,4948,.510,1487,1967,.756,913,2612,3525,2001,670,403,1230,1699,8586,104.7
10,Golden State Warriors,82,19830,3019,6920,.436,569,1656,.344,2450,5264,.465,1548,2023,.765,878,2671,3549,1683,649,342,1232,1584,8155,99.5
11,Houston Rockets,82,19830,3197,7218,.443,666,1889,.353,2531,5329,.475,1395,1844,.757,977,2439,3416,1821,704,460,1149,1993,8455,103.1
12,Indiana Pacers,82,19780,2850,6785,.420,538,1561,.345,2312,5224,.443,1334,1768,.755,855,2521,3376,1525,593,378,1120,1793,7572,92.3
13,Los Angeles Clippers,82,19755,3068,6958,.441,595,1791,.332,2473,5167,.479,1547,2049,.755,1011,2575,3586,1908,570,284,1261,1919,8278,101.0
14,Los Angeles Lakers,82,19705,3440,7350,.468,666,1843,.361,2774,5507,.504,1412,1942,.727,1068,2950,4018,2112,790,387,1164,1580,8958,109.2
15,Memphis Grizzlies,82,19805,2924,6500,.450,615,1731,.355,2309,4769,.484,1292,1686,.766,809,2403,3212,1632,591,410,1162,1553,7755,94.6
16,Miami Heat,82,19880,2961,6475,.457,694,1917,.362,2267,4558,.497,1374,1832,.750,886,2420,3306,1751,667,256,1369,1675,7990,97.4
17,Milwaukee Bucks,82,19880,3146,6722,.468,697,1826,.382,2449,4896,.500,1511,2011,.751,961,2608,3569,1870,640,413,1158,1690,8500,103.7
18,Minnesota Timberwolves,82,19855,3321,7048,.471,663,1820,.364,2658,5228,.508,1244,1645,.756,908,2717,3625,1875,644,457,1346,1936,8549,104.3
19,New Orleans Pelicans,82,19855,3055,6567,.465,652,1827,.357,2403,4740,.507,1637,2176,.752,881,2538,3419,1845,577,504,1185,1664,8399,102.4
20,New York Knicks,82,19855,2934,6401,.458,713,1921,.371,2221,4480,.496,1568,2050,.765,843,2600,3443,1618,513,277,1193,1611,8149,99.4
21,Oklahoma City Thunder,82,19805,2984,6842,.436,705,1968,.358,2279,4874,.468,1512,2080,.727,900,2456,3356,1785,669,296,1248,1672,8185,99.8
22,Orlando Magic,82,19955,3126,6861,.456,659,1778,.371,2467,5083,.485,1449,1881,.770,859,2746,3605,1848,581,445,1146,1500,8360,102.0
23,Philadelphia 76ers,82,19855,3284,6975,.471,739,1998,.370,2545,4977,.511,1705,2261,.754,976,2871,3847,2144,736,558,1391,1686,9012,109.9
24,Phoenix Suns,82,19755,3118,6840,.456,556,1632,.341,2562,5208,.492,1621,2115,.766,926,2586,3512,1664,613,332,1258,1749,8413,102.6
25,Portland Trail Blazers,82,19855,3248,7203,.451,534,1504,.355,2714,5699,.476,1396,1822,.766,944,2622,3566,1675,639,304,985,1698,8426,102.8
26,Sacramento Kings,82,19830,3103,6734,.461,696,1833,.380,2407,4901,.491,1577,2139,.737,813,2568,3381,1927,637,459,1116,1897,8479,103.4
27,San Antonio Spurs,82,19755,3096,6976,.444,529,1500,.353,2567,5476,.469,1285,1691,.760,862,2600,3462,1669,628,379,1137,1585,8006,97.6
28,Toronto Raptors,82,19955,2957,6573,.450,568,1578,.360,2389,4995,.478,1557,2071,.752,854,2505,3359,1719,596,352,1224,1815,8039,98.0
29,Utah Jazz,82,19780,3138,6639,.473,599,1591,.376,2539,5048,.503,1504,1945,.773,846,2640,3486,1788,617,401,1034,1673,8379,102.2
30,Washington Wizards,82,20055,3038,6632,.458,612,1763,.347,2426,4869,.498,1462,1912,.765,827,2633,3460,1824,631,320,1314,1600,8150,99.4
31,League Average,82,19840,3093,6806,.454,635,1766,.360,2458,5040,.488,1462,1934,.756,895,2611,3505,1804,630,386,1201,1697,8283,101.0
