Toronto Raptors,DeMar DeRozan,209px,-11,143px,null,147px,+11,195px,-5,54px,null,250px,+11
Toronto Raptors,Tyler Hansbrough,196px,-8,156px,null,147px,+11,162px,-4,87px,null,242px,+9,7px,null
Toronto Raptors,Amir Johnson,157px,-2,140px,null,202px,+9,250px,-3,126px,null,123px,+10
Toronto Raptors,Kyle Lowry,250px,-8,102px,null,147px,+11,250px,-3,126px,null,123px,+10
Toronto Raptors,Terrence Ross,182px,-6,68px,null,127px,-6,123px,null,52px,-3,446px,null
Toronto Raptors,John Salmons,156px,null,92px,-6,98px,-4,345px,null,54px,+2,126px,+1,95px,null,12px,+2,8px,null,8px,+2
Toronto Raptors,Greivis Vasquez,186px,null,63px,-2,98px,-4,368px,null,32px,0,221px,+9,12px,null,16px,0
Toronto Raptors,Chuck Hayes,196px,null,54px,0,98px,-4,322px,null,79px,+1,126px,+1,122px,null
Toronto Raptors,Steve Novak,215px,null,35px,+3,48px,-2,702px,null
Toronto Raptors,Nando De Colo,377px,null,122px,+13,59px,null,153px,0,288px,null
New Orleans Pelicans,Tyreke Evans,229px,+10,147px,null,123px,-12,221px,+2,121px,null,157px,-10
New Orleans Pelicans,Eric Gordon,196px,+8,156px,null,121px,-4,26px,null,162px,+4,213px,null,123px,-10
New Orleans Pelicans,Brian Roberts,176px,+8,235px,null,88px,-9,212px,+3,164px,null,123px,-10
New Orleans Pelicans,Greg Stiemsma,138px,+2,237px,null,68px,-3,54px,null,64px,+3,377px,null,28px,-5,30px,null
New Orleans Pelicans,Jeff Withey,144px,0,256px,null,99px,-11,119px,-1,159px,null,164px,-4,28px,null,27px,-2
New Orleans Pelicans,Alexis Ajinca,138px,null,111px,+6,120px,+5,194px,null,185px,0,29px,0,220px,null
New Orleans Pelicans,Al-Farouq Aminu,148px,null,101px,+8,144px,+4,56px,null,50px,-9,119px,null,130px,+4,248px,-11
New Orleans Pelicans,Austin Rivers,181px,null,68px,0,161px,+2,63px,null,25px,-7,170px,null,79px,-1,126px,-1,122px,null
New Orleans Pelicans,Anthony Morrow,196px,null,54px,0,120px,+5,351px,null,28px,+1,126px,-1,122px,null
New Orleans Pelicans,Darius Miller,229px,null,20px,-2,98px,+4,368px,null,32px,0,92px,-1,158px,null
