Washington Wizards,Trevor Ariza,249px,+5,191px,null,58px,-6,249px,-11,92px,null,107px,-2,51px,null
Washington Wizards,Bradley Beal,186px,+4,63px,null,191px,-1,58px,null,145px,-7,104px,null,198px,-3,51px,null
Washington Wizards,Trevor Booker,205px,+2,188px,null,106px,-3,154px,-7,346px,null
Washington Wizards,Kevin Seraphin,192px,+3,206px,null,51px,+4,48px,null,97px,-5,351px,null,52px,+3
Washington Wizards,John Wall,229px,+5,19px,null,1px,0,97px,null,152px,-4,248px,-11,48px,null,150px,-1,51px,null
Washington Wizards,Martell Webster,192px,null,57px,+1,249px,-7,145px,null,103px,-4,0px,null,87px,-1,92px,null,70px,+2
Washington Wizards,Drew Gooden,192px,null,47px,+2,10px,null,143px,-3,203px,null,151px,-6,0px,null,198px,-3,51px,null
Washington Wizards,Chris Singleton,208px,null,41px,+3,136px,-4,65px,null,48px,-8,448px,null,51px,+3
Washington Wizards,Andre Miller,234px,null,15px,0,97px,-3,402px,null,180px,-2,70px,null
Washington Wizards,Al Harrington,658px,null,91px,-4,0px,null,43px,-2,207px,null
Washington Wizards,Otto Porter,951px,null,51px,+3
Washington Wizards,Garrett Temple,951px,null,51px,+3
Portland Trail Blazers,Nicolas Batum,249px,-5,149px,null,100px,+4,248px,+11,0px,null,4px,+1,107px,null,102px,0,36px,null
Portland Trail Blazers,Damian Lillard,187px,-4,120px,null,192px,+8,199px,+7,120px,null,144px,-1,35px,null
Portland Trail Blazers,Robin Lopez,187px,-4,212px,null,100px,+4,181px,+6,143px,null,139px,+1,35px,null
Portland Trail Blazers,Wesley Matthews,187px,-4,160px,null,152px,+4,153px,+7,108px,null,187px,+2,50px,null
Portland Trail Blazers,Dorell Wright,209px,-2,242px,null,49px,+8,154px,+7,345px,null
Portland Trail Blazers,Meyers Leonard,193px,null,37px,-1,771px,null
Portland Trail Blazers,C.J. McCollum,193px,null,57px,-1,58px,-1,664px,null,27px,0
Portland Trail Blazers,Mo Williams,192px,null,57px,-1,201px,-1,207px,null,90px,+4,0px,null,213px,0,36px,null
Portland Trail Blazers,Thomas Robinson,208px,null,41px,-3,143px,+3,286px,null,68px,+5,0px,null,69px,-1,151px,null,29px,0
Portland Trail Blazers,Victor Claver,234px,null,15px,0,143px,+3,264px,null,90px,+4,0px,null,111px,0,110px,null,28px,0
Portland Trail Blazers,Will Barton,249px,null,97px,+3,351px,null,50px,+4,0px,null,66px,+1,133px,null,50px,-3
Portland Trail Blazers,Allen Crabbe,974px,null,28px,0
