Brooklyn Nets,Joe Johnson,164px,+3,200px,null,89px,+2,226px,-13,129px,null,97px,-2,93px,-5
Brooklyn Nets,Shaun Livingston,89px,+4,75px,null,62px,+3,42px,+4,184px,null,226px,-13,129px,null,96px,-2,93px,-5
Brooklyn Nets,Paul Pierce,163px,+3,199px,null,88px,+2,91px,-2,28px,null,106px,-5,129px,null,96px,-2,96px,-5
Brooklyn Nets,Mason Plumlee,163px,+3,179px,null,108px,+4,119px,-8,236px,null,96px,-2,84px,-7,4px,null,7px,0
Brooklyn Nets,Deron Williams,164px,+3,180px,null,108px,+4,177px,-4,49px,null,226px,-3,94px,-5
Brooklyn Nets,Alan Anderson,95px,null,131px,+2,133px,+8,270px,null,49px,-9,125px,-1,195px,null
Brooklyn Nets,Andray Blatche,164px,null,62px,+3,118px,+6,228px,null,107px,-5,125px,-1,194px,null
Brooklyn Nets,Mirza Teletovic,163px,null,62px,+3,132px,+8,189px,null,23px,-6,106px,null,124px,-1,185px,null,4px,+2,7px,null
Brooklyn Nets,Marcus Thornton,164px,null,62px,+3,118px,+6,657px,null
Brooklyn Nets,Jorge Gutierrez,269px,null,184px,+6,226px,null,125px,-1,196px,null
New Orleans Pelicans,Al-Farouq Aminu,163px,-3,104px,null,124px,-11,59px,null,201px,+4,190px,null,52px,-2,95px,null,8px,0
New Orleans Pelicans,Anthony Davis,208px,-3,60px,null,164px,-5,20px,null,206px,+4,76px,null,170px,+7,93px,+5
New Orleans Pelicans,Tyreke Evans,216px,-6,89px,null,146px,-6,226px,+13,29px,0,100px,null,97px,+2,94px,+5
New Orleans Pelicans,Brian Roberts,163px,-3,174px,null,113px,-4,163px,+6,91px,null,132px,+5,57px,null,8px,0,88px,+5,6px,null
New Orleans Pelicans,Greg Stiemsma,104px,-4,289px,null,59px,+5,35px,-4,513px,null
New Orleans Pelicans,Alexis Ajinca,104px,null,122px,-2,42px,-4,218px,null,191px,+17,50px,-4,271px,null
New Orleans Pelicans,Anthony Morrow,163px,null,62px,-3,80px,-4,87px,null,59px,+5,205px,null,20px,+9,226px,+3,94px,+5
New Orleans Pelicans,Austin Rivers,164px,null,62px,-3,112px,-6,282px,null,58px,+7,226px,+3,94px,+5
New Orleans Pelicans,Luke Babbitt,209px,null,17px,-3,132px,-8,78px,null,15px,-1,205px,null,20px,+9,124px,+1,196px,null
New Orleans Pelicans,Darius Miller,223px,null,4px,0,42px,-4,732px,null
New Orleans Pelicans,Jeff Withey,365px,null,30px,-7,607px,null
