Philadelphia 76ers,James Anderson,140px,-3,165px,null,194px,-2,248px,-5,146px,null,105px,-5
Philadelphia 76ers,Michael Carter-Williams,249px,-7,40px,-2,90px,null,120px,+4,201px,0,93px,null,180px,0,23px,null
Philadelphia 76ers,Henry Sims,194px,-3,110px,null,74px,-6,118px,null,1px,-2,200px,0,81px,null,146px,+7,21px,null,49px,-4
Philadelphia 76ers,Hollis Thompson,249px,-7,129px,null,120px,+4,164px,+1,85px,null,225px,+2,25px,null
Philadelphia 76ers,Thaddeus Young,249px,-7,40px,-2,90px,null,120px,+4,164px,+1,134px,null,147px,+1,52px,null
Philadelphia 76ers,Elliot Williams,140px,null,109px,-4,55px,-7,363px,null,79px,-6,1px,null,145px,+4,104px,null
Philadelphia 76ers,Jarvis Varnado,200px,null,49px,-4,55px,-7,363px,null,79px,-6,1px,null,33px,-1,216px,null
Philadelphia 76ers,James Nunnally,250px,null,130px,-13,596px,null,24px,-3
Philadelphia 76ers,Byron Mullens,289px,null,202px,-5,208px,null,47px,-5,1px,null,49px,+2,130px,null,70px,-7
Philadelphia 76ers,Casper Ware,289px,null,90px,-11,320px,null,47px,-5,1px,null,45px,+2,180px,null,24px,-3
San Antonio Spurs,Boris Diaw,151px,+3,282px,null,66px,-1,118px,-3,131px,null,250px,+1
San Antonio Spurs,Tim Duncan,172px,0,133px,null,195px,+2,118px,-3,381px,null
San Antonio Spurs,Manu Ginobili,172px,0,133px,null,194px,+2,118px,-3,131px,null,64px,0,185px,null
San Antonio Spurs,Cory Joseph,153px,+5,169px,null,168px,-3,8px,null,118px,-3,96px,null,34px,+1,1px,null,248px,+1
San Antonio Spurs,Kawhi Leonard,140px,+3,32px,null,77px,+7,118px,+11,131px,null,31px,-2,12px,null,170px,+7,284px,null
San Antonio Spurs,Marco Belinelli,139px,null,109px,+4,55px,+7,68px,null,126px,-2,31px,null,12px,-1,74px,null,130px,+8,180px,null,69px,+7
San Antonio Spurs,Austin Daye,151px,null,99px,+4,178px,+10,189px,null,130px,+8,72px,null,178px,+1
San Antonio Spurs,Patrick Mills,157px,null,91px,+2,72px,+10,176px,null,1px,+2,118px,null,130px,+8,1px,null,179px,-6,69px,null
San Antonio Spurs,Jeff Ayres,172px,null,77px,+7,55px,+7,312px,null,130px,+8,1px,null,145px,-4,104px,null
San Antonio Spurs,Aron Baynes,897px,null,105px,+5
