Utah Jazz,Trey Burke,159px,-6,82px,null,7px,+2,249px,-1,73px,-5,86px,null,89px,-8,0px,null,250px,0
Utah Jazz,Derrick Favors,187px,-14,187px,null,126px,-5,154px,-6,345px,null
Utah Jazz,Gordon Hayward,250px,-13,154px,null,96px,-3,249px,-14,250px,null
Utah Jazz,Richard Jefferson,117px,-9,132px,null,154px,+2,96px,null,154px,-6,345px,null
Utah Jazz,Marvin Williams,217px,-15,156px,null,61px,-5,64px,null,177px,-11,323px,null
Utah Jazz,Alec Burks,120px,null,129px,-4,249px,-1,73px,null,175px,-9,0px,null,141px,-1,109px,null
Utah Jazz,Diante Garrett,160px,null,90px,-7,641px,null,109px,+1
Utah Jazz,Enes Kanter,194px,null,54px,+1,120px,+4,64px,null,53px,+3,170px,null,89px,-8,0px,null,140px,-1,110px,null
Utah Jazz,Jeremy Evans,221px,null,20px,0,8px,null,120px,+4,125px,null,4px,-3,176px,null,72px,-3,0px,null,248px,0
Utah Jazz,Ian Clark,752px,null,250px,0
Utah Jazz,Rudy Gobert,893px,null,109px,+1
Golden State Warriors,Andrew Bogut,160px,+6,145px,null,194px,+2,111px,+8,389px,null
Golden State Warriors,Stephen Curry,195px,+12,47px,null,7px,-2,95px,null,155px,+7,249px,+14,249px,null
Golden State Warriors,Draymond Green,207px,+12,137px,null,155px,+7,130px,+8,307px,null,62px,-1
Golden State Warriors,Andre Iguodala,166px,+5,178px,null,129px,+4,26px,null,154px,+6,345px,null
Golden State Warriors,Klay Thompson,187px,+14,112px,null,200px,0,249px,+14,251px,null
Golden State Warriors,Jermaine O'Neal,159px,null,82px,+9,8px,null,51px,-1,308px,null,138px,+6,0px,null,92px,-1,157px,null
Golden State Warriors,Harrison Barnes,167px,null,82px,+8,94px,-6,133px,null,22px,+3,130px,null,119px,+6,0px,null,248px,0
Golden State Warriors,Steve Blake,195px,null,54px,-1,94px,-6,315px,null,89px,+8,0px,null,250px,0
Golden State Warriors,Jordan Crawford,200px,null,49px,+1,94px,-6,405px,null,251px,0
Golden State Warriors,Marreese Speights,207px,null,43px,+1,50px,+1,450px,null,249px,0
Golden State Warriors,Hilton Armstrong,843px,null,96px,+2,62px,null
