Memphis Grizzlies,Tony Allen,157px,-6,342px,null,98px,-8,146px,null,5px,-2,250px,null
Memphis Grizzlies,Mike Conley,239px,-14,104px,null,157px,-1,245px,+4,254px,null
Memphis Grizzlies,Marc Gasol,239px,-14,104px,null,157px,-1,140px,-5,359px,null
Memphis Grizzlies,Courtney Lee,194px,-11,176px,null,130px,-5,155px,-7,344px,null
Memphis Grizzlies,Zach Randolph,250px,-16,149px,null,101px,-5,140px,-5,359px,null
Memphis Grizzlies,Mike Miller,157px,null,93px,-10,119px,+5,631px,null
Memphis Grizzlies,James Johnson,193px,null,56px,-5,249px,0,98px,null,151px,+10,0px,null,127px,-4,42px,null,79px,0
Memphis Grizzlies,Nick Calathes,243px,null,6px,-2,93px,+1,311px,null,94px,+9,0px,null,163px,-6,86px,null
Memphis Grizzlies,Ed Davis,243px,null,6px,-2,148px,+5,246px,null,103px,+7,0px,null,101px,+1,69px,null,79px,0
Memphis Grizzlies,Kosta Koufos,249px,null,93px,+1,302px,null,98px,+9,5px,null,163px,-6,87px,null
Memphis Grizzlies,Beno Udrih,745px,null,5px,-2,0px,null,250px,-6
Memphis Grizzlies,Jon Leuer,853px,null,149px,-7
Memphis Grizzlies,Jamaal Franklin,880px,null,122px,-2
San Antonio Spurs,Tim Duncan,239px,+14,160px,null,101px,+5,249px,-2,250px,null
San Antonio Spurs,Danny Green,157px,+6,343px,null,217px,-2,283px,null
San Antonio Spurs,Kawhi Leonard,165px,+9,139px,null,194px,+3,140px,+5,60px,null,48px,-4,62px,null,66px,0,121px,null
San Antonio Spurs,Tony Parker,194px,+11,808px,null
San Antonio Spurs,Tiago Splitter,157px,+6,177px,null,82px,-5,84px,null,140px,+5,358px,null
San Antonio Spurs,Boris Diaw,156px,null,93px,+10,79px,-3,87px,null,83px,+8,249px,null,128px,+4,121px,null
San Antonio Spurs,Manu Ginobili,155px,null,92px,+10,50px,-3,68px,null,129px,+5,145px,null,49px,-3,25px,null,29px,0,0px,null,62px,+4,65px,null,101px,+3,20px,null
San Antonio Spurs,Marco Belinelli,165px,null,84px,+7,119px,-5,304px,null,74px,-9,0px,null,128px,+4,122px,null
San Antonio Spurs,Patrick Mills,194px,null,56px,+5,119px,-5,380px,null,250px,+6
San Antonio Spurs,Jeff Ayres,243px,null,5px,+2,2px,null,149px,-5,478px,null,121px,+2
San Antonio Spurs,Cory Joseph,249px,null,0px,0,119px,null,130px,+5,174px,+7,203px,null,122px,+2
San Antonio Spurs,Matt Bonner,645px,null,103px,-7,0px,null,128px,+4,102px,null,20px,-1
San Antonio Spurs,Austin Daye,880px,null,122px,+2
