Houston Rockets,Omer Asik,200px,+7,177px,null,123px,+1,185px,+16,314px,null
Houston Rockets,James Harden,248px,+9,89px,null,162px,-3,250px,+20,250px,null
Houston Rockets,Terrence Jones,164px,+9,35px,null,48px,+2,1px,null,241px,-6,8px,null,221px,+16,278px,null
Houston Rockets,Jeremy Lin,164px,+9,141px,null,90px,-10,103px,null,184px,+16,65px,null,106px,-5,143px,null
Houston Rockets,Chandler Parsons,199px,+7,50px,null,224px,-4,24px,null,1px,+2,225px,+19,274px,null
Houston Rockets,Isaiah Canaan,165px,null,82px,0,1px,null,56px,+4,90px,null,103px,+2,184px,null,65px,+4,249px,-10
Houston Rockets,Donatas Motiejunas,165px,null,82px,0,1px,null,126px,-5,348px,null,25px,+4,250px,-10
Houston Rockets,Francisco Garcia,199px,null,48px,+2,1px,null,88px,-1,139px,null,22px,0,184px,null,65px,+4,249px,-10
Houston Rockets,Omri Casspi,730px,null,21px,+1,250px,-10
Houston Rockets,Jordan Hamilton,863px,null,139px,-5
Los Angeles Lakers,Jordan Hill,164px,-9,173px,null,103px,+5,58px,null,127px,-18,161px,null,98px,+7,112px,null
Los Angeles Lakers,Wesley Johnson,113px,-7,51px,null,82px,0,1px,null,88px,+1,91px,null,69px,-6,248px,-20,117px,+4,58px,null,75px,+2
Los Angeles Lakers,Ryan Kelly,247px,-9,159px,null,91px,0,113px,-13,72px,null,65px,-4,39px,-3,111px,null,98px,+4
Los Angeles Lakers,Kendall Marshall,114px,-7,363px,null,22px,0,113px,-13,247px,null,139px,+5
Los Angeles Lakers,Jodie Meeks,199px,-7,95px,null,204px,+8,184px,-16,44px,null,21px,-1,175px,+8,74px,null
Los Angeles Lakers,Jordan Farmar,118px,null,129px,-2,1px,null,173px,+10,193px,null,131px,-7,106px,+5,145px,null
Los Angeles Lakers,Nick Young,118px,null,46px,-2,85px,null,41px,-4,326px,null,132px,-7,249px,+10
Los Angeles Lakers,Robert Sacre,165px,null,82px,0,1px,null,151px,+4,43px,null,53px,-2,127px,null,97px,-1,167px,null,7px,+2,100px,null
Los Angeles Lakers,Steve Nash,200px,null,49px,-2,1px,null,224px,+4,525px,null
Los Angeles Lakers,MarShon Brooks,874px,null,128px,+6
