Denver Nuggets,Aaron Brooks,190px,-7,35px,null,24px,-6,0px,null,249px,+3,107px,+2,142px,null,249px,+3
Denver Nuggets,Kenneth Faried,224px,-7,146px,null,130px,+1,191px,+5,174px,null,133px,-2
Denver Nuggets,Randy Foye,224px,-7,63px,null,212px,-1,250px,+8,127px,null,122px,-4
Denver Nuggets,Quincy Miller,249px,-13,0px,null,37px,+4,83px,null,129px,+1,90px,-2,409px,null
Denver Nuggets,Timofey Mozgov,249px,-13,87px,null,140px,0,23px,null,250px,+8,249px,+3
Denver Nuggets,Evan Fournier,190px,null,59px,-6,0px,null,120px,+2,219px,null,160px,+10,249px,+3
Denver Nuggets,Darrell Arthur,224px,null,24px,-6,0px,null,119px,+2,106px,null,23px,+1,107px,null,142px,+6,111px,+5,138px,null
Denver Nuggets,Jan Vesely,250px,null,86px,+2,354px,null,58px,+3,127px,+7,123px,null
Golden State Warriors,Andrew Bogut,154px,+9,228px,null,96px,-2,20px,null,166px,-5,199px,null,134px,+2
Golden State Warriors,Stephen Curry,224px,+7,146px,null,130px,-1,129px,-3,160px,null,209px,-6
Golden State Warriors,Draymond Green,189px,+7,179px,null,68px,-2,61px,null,165px,-5,145px,null,50px,-5,108px,null,30px,+1
Golden State Warriors,Andre Iguodala,160px,+9,209px,null,87px,-2,26px,null,17px,-3,117px,-3,206px,null,174px,-1
Golden State Warriors,Klay Thompson,190px,+7,193px,null,116px,-5,107px,-2,181px,null,209px,-6,1px,null
Golden State Warriors,Jermaine O'Neal,159px,null,89px,+4,0px,null,133px,+2,54px,null,61px,+1,165px,null,83px,-3,74px,-2,174px,null,1px,0
Golden State Warriors,Harrison Barnes,160px,null,88px,+4,0px,null,119px,-2,87px,null,42px,+1,107px,null,142px,-6,220px,-4,29px,null
Golden State Warriors,Steve Blake,190px,null,59px,+6,0px,null,120px,-2,258px,null,121px,-5,34px,+3,214px,null
Golden State Warriors,Marreese Speights,190px,null,59px,+6,0px,null,120px,-2,295px,null,83px,-3,62px,0,187px,null
Golden State Warriors,Jordan Crawford,225px,null,24px,+6,0px,null,133px,+2,232px,null,132px,-5,34px,+3,216px,null
