Washington Wizards,Trevor Ariza,160px,-8,90px,null,198px,-6,552px,null
Washington Wizards,Bradley Beal,249px,-8,120px,null,126px,+9,3px,null,249px,-3,45px,-6,73px,null,45px,0,85px,null
Washington Wizards,Marcin Gortat,249px,-8,86px,null,142px,+6,20px,null,249px,-3,119px,null,45px,0,86px,null
Washington Wizards,Nene Hilario,152px,-8,97px,null,86px,-6,163px,null,166px,+5,83px,null,116px,-8,133px,null
Washington Wizards,John Wall,248px,-8,104px,null,144px,+7,3px,null,236px,-1,263px,null
Washington Wizards,Jan Vesely,152px,null,97px,0,112px,-11,303px,null,83px,-8,116px,-8,92px,null,41px,+6
Washington Wizards,Martell Webster,160px,null,89px,0,246px,-2,3px,null,235px,-1,59px,null,162px,0,42px,null
Washington Wizards,Eric Maynor,248px,null,1px,0,102px,-9,382px,null,14px,-2,45px,-6,205px,null
Washington Wizards,Glen Rice,451px,null,45px,+4,239px,null,14px,-2,116px,-8,48px,null,84px,+8
Washington Wizards,Kevin Seraphin,488px,null,9px,-2,418px,null,85px,+8
Washington Wizards,Garrett Temple,797px,null,205px,+6
Washington Wizards,Trevor Booker,871px,null,131px,+8
San Antonio Spurs,Tim Duncan,197px,+6,138px,null,160px,-4,3px,null,166px,-5,334px,null
San Antonio Spurs,Danny Green,130px,+11,205px,null,160px,-4,3px,null,166px,-5,334px,null
San Antonio Spurs,Kawhi Leonard,188px,+8,164px,null,144px,-7,3px,null,166px,-5,333px,null
San Antonio Spurs,Tony Parker,188px,+8,147px,null,160px,-4,3px,null,166px,-5,334px,null
San Antonio Spurs,Tiago Splitter,130px,+11,68px,null,51px,+2,82px,+6,168px,null,235px,+1,263px,null
San Antonio Spurs,Boris Diaw,130px,null,119px,-3,102px,+9,382px,null,14px,+2,142px,+12,108px,null
San Antonio Spurs,Manu Ginobili,130px,null,119px,-3,82px,+6,96px,null,68px,-4,169px,null,83px,+8,115px,+8,133px,null
San Antonio Spurs,Marco Belinelli,188px,null,61px,0,173px,+6,242px,null,83px,+8,74px,+7,44px,null,88px,-2,42px,null
San Antonio Spurs,Patrick Mills,188px,null,61px,0,82px,+6,333px,null,83px,+8,74px,+7,133px,null,42px,-6
San Antonio Spurs,Jeff Ayres,667px,null,83px,+8,251px,0
San Antonio Spurs,Nando De Colo,833px,null,169px,-7
San Antonio Spurs,Cory Joseph,833px,null,169px,-7
San Antonio Spurs,Aron Baynes,894px,null,108px,-12
