Chicago Bulls,Carlos Boozer,250px,+3,250px,null,250px,-7,250px,null
Chicago Bulls,Jimmy Butler,249px,+3,56px,-3,65px,null,124px,-5,4px,null,249px,-7,250px,+2
Chicago Bulls,Mike Dunleavy,250px,+3,116px,-4,133px,null,250px,-7,65px,+2,184px,null
Chicago Bulls,Kirk Hinrich,180px,+4,191px,null,124px,-5,4px,null,187px,-7,127px,null,184px,0
Chicago Bulls,Joakim Noah,196px,0,143px,null,155px,-4,4px,null,235px,-3,14px,null,250px,+2
Chicago Bulls,D.J. Augustin,180px,null,70px,-1,245px,-9,195px,null,58px,0,250px,+2
Chicago Bulls,Taj Gibson,204px,null,45px,+3,245px,-9,240px,null,14px,-4,250px,+2
Chicago Bulls,Nazr Mohammed,250px,null,90px,-5,661px,null
Chicago Bulls,Tony Snell,307px,null,60px,-1,634px,null
New York Knicks,Carmelo Anthony,250px,-3,131px,null,114px,+5,4px,null,220px,+3,279px,null
New York Knicks,Tyson Chandler,234px,-2,137px,null,124px,+5,4px,null,250px,+7,249px,null
New York Knicks,Raymond Felton,195px,0,110px,null,189px,+6,4px,null,220px,+3,136px,null,124px,-6,18px,null
New York Knicks,J.R. Smith,180px,-4,191px,null,124px,+5,4px,null,148px,+8,351px,null
New York Knicks,Amar'e Stoudemire,155px,-1,93px,null,190px,0,58px,null,107px,+8,117px,null,25px,+4,231px,-4,19px,null
New York Knicks,Iman Shumpert,162px,null,87px,-2,116px,+4,74px,null,54px,+9,112px,null,141px,-1,250px,-2
New York Knicks,Tim Hardaway,180px,null,70px,+1,131px,+4,266px,null,102px,-1,249px,-2
New York Knicks,Pablo Prigioni,204px,null,45px,-3,51px,+3,423px,null,25px,+4,107px,+2,142px,null
New York Knicks,Cole Aldrich,234px,null,16px,-1,117px,+4,383px,null,249px,-2
New York Knicks,Toure' Murry,988px,null,14px,+2
New York Knicks,Jeremy Tyler,988px,null,14px,+2
