Detroit Pistons,Kentavious Caldwell-Pope,248px,+2,1px,null,169px,+6,60px,null,19px,-2,249px,+7,173px,-3,31px,null,45px,-4
Detroit Pistons,Andre Drummond,248px,+2,1px,null,12px,+3,237px,null,249px,+7,96px,null,69px,-3,84px,null
Detroit Pistons,Brandon Jennings,248px,+2,1px,null,12px,+3,163px,null,73px,-7,249px,+7,32px,0,138px,null,79px,-6
Detroit Pistons,Greg Monroe,248px,+2,188px,null,62px,-4,226px,+4,24px,null,250px,-9
Detroit Pistons,Kyle Singler,248px,+2,140px,null,110px,-8,249px,+7,97px,0,66px,null,87px,-8
Detroit Pistons,Luigi Datome,250px,null,188px,+3,563px,null
Detroit Pistons,Jonas Jerebko,249px,null,249px,-1,231px,null,19px,+3,163px,-1,8px,null,78px,-6
Detroit Pistons,Tony Mitchell,262px,null,127px,+4,612px,null
Detroit Pistons,Peyton Siva,261px,null,218px,-2,302px,null,133px,-3,16px,null,23px,-2,44px,null
Oklahoma City Thunder,Kevin Durant,249px,-2,68px,null,183px,+3,250px,-7,249px,+9
Oklahoma City Thunder,Serge Ibaka,135px,+4,114px,null,249px,+1,154px,-1,145px,null,24px,+2,71px,null,104px,+9
Oklahoma City Thunder,Kendrick Perkins,172px,-1,326px,null,83px,-2,240px,null,92px,+1,83px,null,1px,0
Oklahoma City Thunder,Thabo Sefolosha,184px,-2,203px,null,110px,+8,154px,-1,266px,null,72px,+4,6px,null,1px,0
Oklahoma City Thunder,Russell Westbrook,197px,-2,191px,null,111px,+8,223px,-6,99px,null,177px,+7
Oklahoma City Thunder,Nick Collison,138px,null,110px,-6,1px,null,60px,-2,276px,null,139px,-2,273px,null
Oklahoma City Thunder,Steven Adams,173px,null,76px,-1,405px,null,95px,-6,45px,0,204px,null
Oklahoma City Thunder,Caron Butler,185px,null,63px,0,1px,null,138px,-7,340px,null,19px,-3,144px,0,98px,null,1px,+2,5px,null
Oklahoma City Thunder,Reggie Jackson,201px,null,47px,0,1px,null,249px,+1,154px,null,95px,-6,157px,+1,92px,null
Oklahoma City Thunder,Derek Fisher,249px,null,139px,-7,335px,null,24px,-1,72px,+2,90px,null,81px,+8,6px,null
