Brooklyn Nets,Alan Anderson,249px,-3,235px,null,14px,-5,1px,null,223px,-6,100px,null,175px,0
Brooklyn Nets,Andray Blatche,149px,-7,170px,null,157px,+4,20px,null,120px,+10,59px,null,69px,-1,1px,null,140px,-3,54px,null,54px,-2
Brooklyn Nets,Reggie Evans,144px,-7,231px,null,114px,-1,10px,null,140px,+4,249px,null,54px,-1,54px,null
Brooklyn Nets,Joe Johnson,147px,-7,102px,null,249px,+4,1px,null,140px,+4,183px,null,175px,0
Brooklyn Nets,Shaun Livingston,157px,-6,182px,null,140px,+5,20px,null,196px,-6,128px,null,174px,0
Brooklyn Nets,Mason Plumlee,143px,null,105px,+4,71px,+5,163px,null,14px,-5,125px,null,48px,-11,23px,null,53px,+4,1px,null,247px,-6
Brooklyn Nets,Jason Terry,147px,null,101px,+4,228px,+9,17px,null,2px,0,140px,null,108px,-6,1px,null,74px,-6,176px,null
Brooklyn Nets,Mirza Teletovic,150px,null,99px,+4,55px,+5,335px,null,55px,-10,304px,null
Brooklyn Nets,Tyshawn Taylor,162px,null,86px,+3,83px,+4,151px,null,14px,-5,196px,null,53px,+4,1px,null,74px,-6,174px,null
Brooklyn Nets,Tornike Shengelia,304px,null,71px,0,347px,null,25px,+4,1px,null,74px,-6,175px,null
Los Angeles Clippers,Jared Dudley,190px,0,173px,null,115px,-3,20px,null,140px,-4,267px,null,64px,+2,27px,null
Los Angeles Clippers,Blake Griffin,249px,+3,114px,null,134px,+2,1px,null,93px,-10,53px,null,102px,+6,1px,null,248px,+6
Los Angeles Clippers,DeAndre Jordan,187px,+2,111px,null,198px,+2,1px,null,237px,+3,98px,null,76px,-4,66px,null,21px,+2
Los Angeles Clippers,Chris Paul,190px,0,173px,null,126px,+2,10px,null,237px,+3,99px,null,162px,+2
Los Angeles Clippers,J.J. Redick,173px,+3,225px,null,85px,+3,15px,null,221px,+6,144px,null,128px,+2,5px,null
Los Angeles Clippers,Jamal Crawford,173px,null,76px,0,149px,-10,85px,null,14px,+5,221px,null,27px,-4,1px,null,157px,+2,91px,null
Los Angeles Clippers,Ryan Hollins,188px,null,62px,+1,47px,-6,703px,null
Los Angeles Clippers,Matt Barnes,194px,null,54px,+3,113px,-6,124px,null,10px,+3,140px,null,108px,+6,1px,null,109px,+1,53px,null,87px,+6
Los Angeles Clippers,Darren Collison,194px,null,54px,+3,113px,-6,132px,null,2px,0,237px,null,11px,-1,1px,null,86px,+4,157px,null,6px,+3
Los Angeles Clippers,Byron Mullens,249px,null,46px,-6,296px,null,53px,+6,91px,null,11px,-1,1px,null,86px,+4,162px,null
Los Angeles Clippers,Reggie Bullock,300px,null,64px,0,637px,null
