Atlanta Hawks,DeMarre Carroll,141px,0,217px,null,91px,-4,50px,null,160px,+2,127px,null,211px,+12
Atlanta Hawks,Al Horford,141px,0,217px,null,140px,0,0px,null,180px,+2,175px,null,144px,+11
Atlanta Hawks,Kyle Korver,183px,-1,174px,null,102px,-2,39px,null,208px,-2,101px,null,190px,+15
Atlanta Hawks,Paul Millsap,173px,+1,184px,null,140px,0,0px,null,152px,-1,135px,null,154px,+9,58px,null
Atlanta Hawks,Jeff Teague,205px,0,182px,null,112px,0,0px,null,209px,-2,290px,null
Atlanta Hawks,Gustavo Ayon,149px,null,100px,-2,109px,+9,293px,null,97px,+5,106px,-2,143px,null
Atlanta Hawks,John Jenkins,149px,null,100px,-2,109px,+9,301px,null,89px,+2,38px,-3,211px,null
Atlanta Hawks,Mike Scott,179px,null,70px,-3,109px,+9,323px,null,66px,+2,38px,-3,154px,null,57px,+3
Atlanta Hawks,Cartier Martin,185px,null,64px,-1,108px,+9,91px,null,49px,+4,208px,null,41px,+6,60px,-6,189px,null
Atlanta Hawks,Shelvin Mack,205px,null,44px,-2,134px,+9,80px,null,35px,+2,209px,null,41px,+6,248px,+9
New York Knicks,Carmelo Anthony,249px,+2,83px,null,117px,+7,50px,null,230px,+2,94px,null,104px,-13,69px,null
New York Knicks,Andrea Bargnani,185px,0,173px,null,140px,0,0px,null,160px,-2,164px,null,104px,-13,70px,null
New York Knicks,Raymond Felton,173px,-1,158px,null,166px,+3,0px,null,249px,-4,75px,null,104px,-13,71px,null
New York Knicks,Iman Shumpert,249px,+2,137px,null,111px,0,0px,null,249px,-4,106px,null,86px,-8,58px,null
New York Knicks,J.R. Smith,183px,+1,66px,null,249px,-9,0px,null,152px,+1,97px,null,173px,-6,76px,null
New York Knicks,Pablo Prigioni,180px,null,70px,+3,83px,-12,416px,null,75px,+4,110px,null,63px,0
New York Knicks,Tim Hardaway,185px,null,64px,+1,134px,-9,267px,null,97px,-5,75px,+4,103px,null,71px,-3
New York Knicks,Kenyon Martin,191px,null,57px,+2,83px,-12,117px,null,49px,-4,160px,null,89px,-2,75px,+4,174px,null
New York Knicks,Amar'e Stoudemire,249px,null,109px,-9,371px,null,19px,-6,106px,+2,86px,null,57px,-3
New York Knicks,Cole Aldrich,938px,null,64px,0
New York Knicks,Toure' Murry,938px,null,64px,0
