Chicago Bulls,Carlos Boozer,250px,-7,136px,null,105px,-4,8px,null,173px,-9,326px,null
Chicago Bulls,Luol Deng,249px,-7,115px,0,77px,null,57px,0,0px,null,249px,-10,250px,null
Chicago Bulls,Mike Dunleavy,197px,-7,167px,null,126px,-4,8px,null,173px,-9,76px,null,117px,-6,132px,null
Chicago Bulls,Kirk Hinrich,238px,-5,127px,null,122px,-5,12px,null,219px,-10,280px,null
Chicago Bulls,Joakim Noah,155px,-6,210px,null,134px,-6,0px,null,173px,-9,326px,null
Chicago Bulls,Taj Gibson,159px,null,90px,-1,136px,0,286px,null,75px,-1,1px,null,117px,-6,132px,null
Chicago Bulls,Tony Snell,197px,null,52px,0,189px,-6,234px,null,75px,-1,1px,null,249px,-16
Chicago Bulls,Marquis Teague,237px,null,12px,-2,115px,0,125px,null,8px,-1,222px,null,26px,0,1px,null,249px,-16
Chicago Bulls,Nazr Mohammed,250px,null,115px,0,307px,null,76px,-1,1px,null,249px,-16
Chicago Bulls,Mike James,869px,null,133px,-10
Chicago Bulls,Erik Murphy,869px,null,133px,-10
Los Angeles Clippers,Jared Dudley,192px,+7,173px,null,114px,+6,20px,null,142px,+5,357px,null
Los Angeles Clippers,Blake Griffin,238px,+5,127px,null,134px,+6,0px,null,195px,+8,304px,null
Los Angeles Clippers,DeAndre Jordan,217px,+5,106px,null,137px,+5,40px,null,192px,+9,306px,null
Los Angeles Clippers,Chris Paul,217px,+5,148px,null,134px,+6,0px,null,210px,+11,289px,null
Los Angeles Clippers,J.J. Redick,192px,+7,177px,null,130px,+8,0px,null,192px,+9,307px,null
Los Angeles Clippers,Reggie Bullock,197px,null,52px,0,115px,0,125px,null,8px,+1,150px,null,98px,+5,1px,null,249px,+16
Los Angeles Clippers,Jamal Crawford,196px,null,52px,0,118px,-2,117px,null,1px,-1,204px,null,56px,+1,1px,null,119px,+9,130px,null
Los Angeles Clippers,Darren Collison,218px,null,31px,+2,115px,0,347px,null,36px,-1,1px,null,249px,+16
Los Angeles Clippers,Ryan Hollins,218px,null,31px,+2,73px,-2,142px,null,25px,+1,200px,null,56px,+1,1px,null,249px,+16
Los Angeles Clippers,Antawn Jamison,237px,null,12px,+2,115px,0,329px,null,53px,+2,1px,null,135px,+11,114px,null
Los Angeles Clippers,Willie Green,876px,null,126px,+7
Los Angeles Clippers,Byron Mullens,887px,null,115px,+5
