Atlanta Hawks,DeMarre Carroll,202px,-1,175px,null,121px,+1,234px,+5,59px,null,207px,+2
Atlanta Hawks,Al Horford,165px,0,150px,null,184px,-1,150px,+6,115px,null,234px,-3
Atlanta Hawks,Paul Millsap,212px,+1,165px,null,121px,+1,249px,-1,16px,+3,36px,null,198px,+4
Atlanta Hawks,Jeff Teague,226px,-2,151px,null,121px,+1,150px,+6,83px,null,16px,-6,250px,0
Atlanta Hawks,Louis Williams,129px,-1,102px,null,17px,0,0px,null,115px,+2,134px,null,125px,+5,166px,null,173px,0,33px,null
Atlanta Hawks,Cartier Martin,130px,null,119px,-1,0px,null,128px,0,247px,null,123px,-6,43px,-2,206px,null
Atlanta Hawks,Elton Brand,171px,null,77px,-2,0px,null,65px,+2,341px,null,88px,-4,3px,null,16px,+3,234px,null
Atlanta Hawks,Shelvin Mack,204px,null,43px,-1,0px,null,128px,0,59px,null,62px,+1,157px,null,91px,-7,43px,-2,178px,null,28px,+2
Atlanta Hawks,Mike Scott,211px,null,37px,-3,0px,null,128px,0,367px,null,3px,-3,16px,null,36px,-7,197px,null
Atlanta Hawks,John Jenkins,367px,null,72px,-2,562px,null
San Antonio Spurs,Tim Duncan,164px,0,170px,null,164px,+1,186px,-1,105px,null,202px,-1,3px,null,2px,+2
San Antonio Spurs,Danny Green,130px,+1,185px,null,122px,+2,62px,null,107px,-5,222px,null,109px,-1,59px,null
San Antonio Spurs,Kawhi Leonard,172px,-2,265px,null,62px,-1,97px,-1,269px,null,133px,+1
San Antonio Spurs,Tony Parker,189px,-2,175px,null,135px,+1,198px,-6,67px,null,234px,+3
San Antonio Spurs,Tiago Splitter,147px,+1,167px,null,121px,+2,62px,null,125px,-5,61px,null,59px,-1,3px,null,42px,+2,207px,null
San Antonio Spurs,Manu Ginobili,129px,null,119px,+1,0px,null,65px,-2,121px,null,62px,-1,97px,null,152px,+2,16px,-3,173px,null,59px,-5
San Antonio Spurs,Boris Diaw,147px,null,101px,+1,0px,null,85px,-2,101px,null,62px,-1,125px,null,123px,+6,247px,-2,3px,null
San Antonio Spurs,Jeff Ayres,172px,null,77px,+2,0px,null,66px,-2,684px,null
San Antonio Spurs,Marco Belinelli,175px,null,73px,+4,0px,null,108px,-2,8px,null,71px,+2,169px,null,141px,+6,116px,-1,128px,null,4px,-1
San Antonio Spurs,Patrick Mills,189px,null,60px,+4,0px,null,115px,-2,336px,null,47px,+7,75px,+6,174px,null
San Antonio Spurs,Matt Bonner,748px,null,3px,+3,250px,null
