Indiana Pacers,Paul George,249px,-8,135px,null,114px,+11,0px,null,249px,+18,142px,+4,108px,null
Indiana Pacers,Roy Hibbert,249px,-8,202px,null,47px,+2,0px,null,194px,+12,192px,null,57px,-5,55px,null
Indiana Pacers,George Hill,250px,-8,202px,null,47px,+2,0px,null,250px,+18,249px,null
Indiana Pacers,Lance Stephenson,157px,-2,92px,null,246px,+12,3px,null,187px,+15,62px,null,160px,-1,89px,null
Indiana Pacers,David West,158px,-2,171px,null,170px,+15,0px,null,249px,+18,129px,+2,120px,null
Indiana Pacers,Orlando Johnson,160px,null,89px,-6,135px,+1,110px,null,3px,0,395px,null,105px,-15
Indiana Pacers,Luis Scola,160px,null,89px,-6,195px,+10,248px,null,55px,+6,251px,-11
Indiana Pacers,Ian Mahinmi,250px,null,80px,-3,615px,null,55px,-8
Indiana Pacers,C.J. Watson,250px,null,195px,+10,242px,null,62px,+3,250px,-11
Indiana Pacers,Solomon Hill,912px,null,55px,-8,34px,null
Indiana Pacers,Donald Sloan,971px,null,31px,-2
San Antonio Spurs,Tim Duncan,250px,+8,135px,null,114px,-11,0px,null,187px,-15,312px,null
San Antonio Spurs,Danny Green,111px,+3,210px,null,64px,-4,114px,null,172px,-15,327px,null
San Antonio Spurs,Kawhi Leonard,249px,+8,135px,null,114px,-11,0px,null,249px,-18,142px,-4,108px,null
San Antonio Spurs,Tony Parker,250px,+8,135px,null,114px,-11,0px,null,187px,-15,312px,null
San Antonio Spurs,Tiago Splitter,100px,+3,150px,null,72px,+3,678px,null
San Antonio Spurs,Boris Diaw,103px,null,146px,+5,195px,-10,248px,null,55px,-6,129px,-2,121px,null
San Antonio Spurs,Manu Ginobili,111px,null,138px,+5,72px,+3,130px,null,47px,-2,176px,null,74px,-3,44px,+2,203px,null
San Antonio Spurs,Marco Belinelli,250px,null,195px,-10,349px,null,206px,+9
San Antonio Spurs,Patrick Mills,249px,null,135px,-1,301px,null,62px,-3,129px,-2,16px,null,105px,+15
San Antonio Spurs,Jeff Ayres,322px,null,64px,-4,364px,null,130px,-2,119px,null
San Antonio Spurs,Matt Bonner,452px,null,47px,-2,0px,null,250px,-18,137px,null,112px,+13
San Antonio Spurs,Aron Baynes,688px,null,7px,+3,192px,null,113px,+13
San Antonio Spurs,Cory Joseph,889px,null,113px,+13
