Orlando Magic,Arron Afflalo,249px,-6,130px,null,120px,+2,239px,-5,72px,null,188px,+11
Orlando Magic,Glen Davis,157px,+1,92px,null,143px,0,106px,null,202px,-5,108px,null,69px,0,48px,null,26px,-2,39px,null,3px,0
Orlando Magic,Jameer Nelson,129px,+1,32px,null,88px,-7,130px,null,120px,+2,249px,-5,115px,null,133px,+11
Orlando Magic,Victor Oladipo,157px,+1,92px,null,129px,-3,120px,null,163px,-4,86px,null,245px,+9,4px,null
Orlando Magic,Nikola Vucevic,249px,-6,144px,null,106px,-1,249px,-5,131px,null,107px,+10,7px,null,3px,0
Orlando Magic,Maurice Harkless,129px,null,119px,-7,48px,null,201px,0,166px,null,83px,-1,61px,-2,176px,null,7px,+1,4px,null
Orlando Magic,Andrew Nicholson,161px,null,88px,-7,0px,null,48px,-1,404px,null,47px,0,115px,-2,133px,null
Orlando Magic,Tobias Harris,249px,null,249px,-1,247px,null,2px,0,179px,+2,26px,null,45px,+9
Orlando Magic,E'Twaun Moore,250px,null,130px,-3,621px,null
Orlando Magic,Kyle O'Quinn,751px,null,62px,-2,188px,null
Oklahoma City Thunder,Kevin Durant,186px,-1,108px,null,205px,+2,250px,+5,125px,null,124px,-13
Oklahoma City Thunder,Serge Ibaka,77px,-2,251px,null,34px,-1,137px,null,218px,+5,178px,null,102px,-9
Oklahoma City Thunder,Kendrick Perkins,157px,-1,209px,null,132px,+2,173px,+4,250px,null,64px,-4,12px,null
Oklahoma City Thunder,Thabo Sefolosha,157px,-1,269px,null,72px,+7,173px,+4,250px,null,77px,-5
Oklahoma City Thunder,Russell Westbrook,249px,+6,130px,null,120px,-2,185px,+3,179px,null,135px,-11
Oklahoma City Thunder,Nick Collison,77px,null,172px,+8,0px,null,39px,-1,433px,null,25px,0,124px,+4,126px,null
Oklahoma City Thunder,Steven Adams,161px,null,88px,+7,0px,null,78px,0,344px,null,76px,+1,167px,-4,82px,null
Oklahoma City Thunder,Jeremy Lamb,160px,null,88px,+7,0px,null,129px,+3,86px,null,33px,+1,173px,null,76px,+1,146px,0,103px,null
Oklahoma City Thunder,Reggie Jackson,186px,null,63px,+7,0px,null,215px,0,227px,null,56px,+2,115px,+2,123px,null,10px,-1
Oklahoma City Thunder,Derek Fisher,250px,null,177px,-6,322px,null,167px,-4,83px,null
