Chicago Bulls,D.J. Augustin,220px,-9,176px,null,103px,+7,250px,-9,176px,-5,73px,null
Chicago Bulls,Carlos Boozer,250px,-11,208px,null,41px,+4,250px,-9,13px,-3,236px,null
Chicago Bulls,Jimmy Butler,250px,-11,97px,-2,654px,null
Chicago Bulls,Mike Dunleavy,142px,-6,204px,null,152px,+10,250px,-9,199px,-3,51px,null
Chicago Bulls,Joakim Noah,142px,-6,234px,null,122px,+7,174px,-10,89px,null,163px,-2,73px,null
Chicago Bulls,Taj Gibson,142px,null,107px,-5,203px,+4,224px,null,72px,+1,250px,0
Chicago Bulls,Tony Snell,143px,null,107px,-5,250px,+8,250px,-9,249px,0
Chicago Bulls,Marquis Teague,220px,null,30px,-2,147px,+1,536px,null,66px,+5
Chicago Bulls,Nazr Mohammed,250px,null,124px,+1,559px,null,67px,+5
Chicago Bulls,Erik Murphy,959px,null,43px,+3
Oklahoma City Thunder,Kevin Durant,199px,+10,147px,null,152px,-10,249px,+9,94px,null,91px,+8,65px,null
Oklahoma City Thunder,Serge Ibaka,91px,+1,255px,null,106px,-6,46px,null,186px,+10,197px,null,50px,+5,65px,null
Oklahoma City Thunder,Kendrick Perkins,129px,+2,248px,null,122px,-7,174px,+10,326px,null
Oklahoma City Thunder,Thabo Sefolosha,176px,+8,220px,null,103px,-7,186px,+10,314px,null
Oklahoma City Thunder,Russell Westbrook,176px,+8,170px,null,77px,-10,75px,null,220px,+6,122px,null,105px,+4,51px,null
Oklahoma City Thunder,Nick Collison,91px,null,158px,+10,97px,+2,341px,null,61px,-1,94px,-1,155px,null
Oklahoma City Thunder,Steven Adams,132px,null,117px,+9,124px,-1,303px,null,72px,-1,250px,0
Oklahoma City Thunder,Reggie Jackson,177px,null,72px,+3,146px,-1,35px,null,68px,0,220px,null,29px,+3,249px,0
Oklahoma City Thunder,Jeremy Lamb,177px,null,72px,+3,97px,+2,111px,null,41px,-4,188px,null,60px,-1,134px,+2,57px,null,57px,-7
Oklahoma City Thunder,Derek Fisher,207px,null,43px,+1,97px,+2,402px,null,94px,-1,155px,null
Oklahoma City Thunder,Perry Jones,944px,null,58px,-7
Oklahoma City Thunder,Andre Roberson,959px,null,43px,-3
