Toronto Raptors,DeMar DeRozan,146px,-3,104px,null,210px,0,39px,null,138px,+2,111px,null,249px,+17
Toronto Raptors,Amir Johnson,146px,-3,161px,null,71px,+6,120px,null,85px,-2,164px,null,250px,+17
Toronto Raptors,Kyle Lowry,250px,-7,137px,null,113px,-5,249px,+4,75px,null,174px,+14
Toronto Raptors,Terrence Ross,196px,-8,191px,null,113px,-5,173px,+3,326px,null
Toronto Raptors,Jonas Valanciunas,195px,-8,112px,null,192px,+1,186px,+3,138px,null,175px,+14
Toronto Raptors,Patrick Patterson,146px,null,103px,-4,58px,-3,78px,null,113px,-5,186px,null,62px,+1,0px,null,69px,+3,179px,null
Toronto Raptors,John Salmons,146px,null,103px,-4,129px,+3,87px,null,33px,-2,138px,null,111px,+2,0px,null,248px,+17
Toronto Raptors,Tyler Hansbrough,195px,null,54px,+1,58px,-3,277px,null,164px,+6,250px,null
Toronto Raptors,Greivis Vasquez,195px,null,54px,+1,129px,+3,297px,null,71px,+1,0px,null,69px,+3,181px,null
New York Knicks,Andrea Bargnani,250px,+7,84px,null,166px,+4,138px,-2,139px,null,221px,-16
New York Knicks,Tyson Chandler,25px,-2,225px,null,240px,-1,10px,null,172px,-3,105px,null,220px,-16
New York Knicks,Iman Shumpert,89px,+2,243px,null,64px,-1,102px,null,27px,-3,363px,null,51px,-5,38px,null,18px,-1
New York Knicks,J.R. Smith,195px,+8,112px,null,192px,-1,249px,-4,0px,null,250px,-17
New York Knicks,Beno Udrih,211px,+4,121px,null,153px,+2,3px,null,9px,+3,211px,-3,70px,null,197px,-15,20px,null
New York Knicks,Kenyon Martin,25px,null,121px,+5,530px,null,71px,-1,0px,null,27px,-1,223px,null
New York Knicks,Tim Hardaway,89px,null,159px,+5,83px,-2,63px,null,101px,+5,27px,null,221px,-1,0px,null,136px,-9,57px,null,57px,-3
New York Knicks,Amar'e Stoudemire,146px,null,103px,+4,84px,-2,156px,null,9px,+3,138px,null,110px,-2,0px,null,27px,-1,221px,null
New York Knicks,Metta World Peace,196px,null,54px,-1,58px,+3,692px,null
New York Knicks,Toure' Murry,218px,null,31px,+3,84px,-2,384px,null,30px,-1,0px,null,32px,-1,217px,null
