Utah Jazz,Trey Burke,138px,+3,111px,null,250px,-2,186px,-10,113px,null,200px,-3
Utah Jazz,Derrick Favors,201px,+1,182px,null,64px,-5,50px,null,103px,-7,281px,null,86px,-1,29px,null
Utah Jazz,Gordon Hayward,147px,+1,264px,null,81px,-2,5px,null,248px,-4,0px,null,67px,-2,68px,null,115px,-1
Utah Jazz,Richard Jefferson,236px,+3,176px,null,86px,-2,182px,-7,135px,null,183px,-3
Utah Jazz,Marvin Williams,249px,+3,163px,null,81px,-2,5px,null,186px,-10,279px,null,34px,-1
Utah Jazz,John Lucas,138px,null,111px,0,244px,null,5px,0,190px,null,59px,+6,0px,null,41px,-2,207px,null
Utah Jazz,Alec Burks,152px,null,97px,+2,163px,0,267px,null,67px,+3,0px,null,135px,-4,115px,null
Utah Jazz,Enes Kanter,200px,null,48px,+2,162px,0,41px,null,40px,+1,110px,null,143px,+3,0px,null,215px,-4,7px,null,27px,0
Utah Jazz,Diante Garrett,239px,null,10px,0,163px,0,81px,null,5px,0,500px,null
Utah Jazz,Jeremy Evans,249px,null,129px,+2,115px,null,5px,0,190px,null,59px,+6,0px,null,135px,-4,113px,null
Los Angeles Clippers,Jamal Crawford,213px,-3,147px,null,139px,+4,249px,+4,180px,null,70px,+7
Los Angeles Clippers,Jared Dudley,179px,-3,182px,null,139px,+4,182px,+7,253px,null,63px,+6
Los Angeles Clippers,Blake Griffin,85px,-1,205px,null,204px,+2,5px,null,249px,+4,0px,null,249px,+5
Los Angeles Clippers,DeAndre Jordan,236px,-3,90px,null,168px,+4,5px,null,228px,+9,149px,null,121px,0
Los Angeles Clippers,Chris Paul,213px,-3,113px,null,173px,+4,249px,+4,128px,null,122px,0
Los Angeles Clippers,Stephen Jackson,85px,null,164px,-2,36px,0,494px,null,88px,+7,131px,null
Los Angeles Clippers,Matt Barnes,178px,null,70px,0,110px,-2,133px,null,5px,0,181px,null,67px,-3,0px,null,179px,-1,71px,null
Los Angeles Clippers,Darren Collison,219px,null,30px,0,111px,-2,133px,null,5px,0,249px,null,173px,-2,76px,null
Los Angeles Clippers,Willie Green,219px,null,30px,0,77px,-2,422px,null,119px,+5,131px,null
Los Angeles Clippers,Byron Mullens,239px,null,10px,0,77px,-2,405px,null,16px,-5,0px,null,31px,-2,218px,null
