Houston Rockets,James Harden,250px,-12,126px,null,124px,0,250px,-8,249px,null
Houston Rockets,Dwight Howard,198px,-15,144px,null,156px,-2,2px,null,167px,-10,331px,null
Houston Rockets,Terrence Jones,147px,-13,50px,null,52px,+3,87px,+2,162px,null,167px,-10,332px,null
Houston Rockets,Jeremy Lin,159px,-14,186px,null,154px,0,71px,-9,179px,null,119px,-5,129px,null
Houston Rockets,Chandler Parsons,198px,-15,52px,null,250px,0,250px,-8,249px,null
Houston Rockets,Francisco Garcia,148px,null,102px,+1,92px,0,407px,null,250px,-11
Houston Rockets,Aaron Brooks,165px,null,84px,+2,124px,0,196px,null,179px,+1,94px,-4,155px,null
Houston Rockets,Omri Casspi,198px,null,52px,+3,250px,0,172px,null,77px,+2,249px,-11
Houston Rockets,Donatas Motiejunas,673px,null,78px,+2,250px,-11
Houston Rockets,Isaiah Canaan,850px,null,152px,-7
Houston Rockets,Ronnie Brewer,876px,null,126px,-6
Oklahoma City Thunder,Kevin Durant,198px,+15,52px,null,250px,0,250px,+8,98px,+4,150px,null
Oklahoma City Thunder,Serge Ibaka,250px,+12,68px,-2,120px,null,62px,0,181px,+8,317px,null
Oklahoma City Thunder,Reggie Jackson,250px,+12,179px,null,70px,-2,216px,+7,284px,null
Oklahoma City Thunder,Kendrick Perkins,198px,+15,178px,null,124px,0,150px,+10,349px,null
Oklahoma City Thunder,Thabo Sefolosha,250px,+12,70px,null,179px,+2,181px,+8,319px,null
Oklahoma City Thunder,Perry Jones,198px,null,52px,-3,68px,-2,363px,null,68px,0,249px,+11
Oklahoma City Thunder,Jeremy Lamb,198px,null,52px,-3,175px,+2,256px,null,68px,0,249px,+11
Oklahoma City Thunder,Derek Fisher,250px,null,188px,0,285px,null,26px,+1,119px,+5,130px,null
Oklahoma City Thunder,Nick Collison,320px,null,53px,+2,275px,null,100px,-2,119px,+5,131px,null
Oklahoma City Thunder,Andre Roberson,850px,null,152px,+7
Oklahoma City Thunder,Steven Adams,876px,null,126px,+6
Oklahoma City Thunder,Ryan Gomes,876px,null,126px,+6
