Sacramento Kings,DeMarcus Cousins,225px,-3,125px,null,149px,+5,236px,+11,96px,null,167px,-9
Sacramento Kings,Rudy Gay,250px,-4,101px,null,149px,+5,218px,+13,82px,null,198px,-11
Sacramento Kings,Ben McLemore,196px,-2,183px,null,120px,+5,188px,+11,176px,null,135px,-10
Sacramento Kings,Isaiah Thomas,131px,-1,219px,null,127px,+3,21px,null,250px,+14,250px,-14
Sacramento Kings,Jason Thompson,148px,-5,165px,null,185px,-2,188px,+11,47px,null,14px,+3,232px,-12,17px,null
Sacramento Kings,Jimmer Fredette,132px,null,118px,-3,101px,-9,131px,null,18px,+2,498px,null
Sacramento Kings,Derrick Williams,148px,null,101px,+1,64px,-2,373px,null,61px,+3,50px,-3,200px,null
Sacramento Kings,Marcus Thornton,196px,null,53px,-2,129px,-9,308px,null,61px,+3,114px,-4,136px,null
Sacramento Kings,Quincy Acy,226px,null,24px,-1,101px,-9,649px,null
Sacramento Kings,Travis Outlaw,249px,null,101px,-9,373px,null,25px,+1,82px,-5,150px,null,17px,-2
San Antonio Spurs,Marco Belinelli,120px,-3,194px,null,111px,+6,74px,null,99px,-6,400px,null
San Antonio Spurs,Tim Duncan,196px,+2,154px,null,149px,-5,188px,-11,143px,null,163px,+9,4px,null
San Antonio Spurs,Kawhi Leonard,155px,+5,194px,null,148px,-5,188px,-11,175px,null,32px,-2,37px,null,67px,+8
San Antonio Spurs,Tony Parker,196px,+2,127px,null,176px,0,188px,-11,138px,null,173px,+9
San Antonio Spurs,Tiago Splitter,131px,+1,219px,null,149px,-5,99px,-6,150px,null,183px,+6,66px,null
San Antonio Spurs,Manu Ginobili,124px,null,124px,+7,64px,+2,113px,null,71px,-4,103px,null,146px,-8,114px,+4,36px,null,94px,+12,4px,null
San Antonio Spurs,Boris Diaw,131px,null,118px,+3,101px,+9,251px,null,146px,-8,82px,+5,101px,null,66px,+8
San Antonio Spurs,Danny Green,162px,null,88px,-1,101px,+9,336px,null,61px,-3,183px,+6,66px,null
San Antonio Spurs,Aron Baynes,196px,null,53px,+2,101px,+9,336px,null,61px,-3,247px,null,3px,0
San Antonio Spurs,Patrick Mills,196px,null,53px,+2,73px,+4,364px,null,61px,-3,70px,+5,180px,null
San Antonio Spurs,Cory Joseph,1000px,null,2px,0
