Orlando Magic,Arron Afflalo,250px,-18,115px,null,135px,-10,250px,-4,249px,null
Orlando Magic,Glen Davis,132px,-17,90px,null,27px,+1,205px,-2,44px,null,249px,-4,250px,null
Orlando Magic,Tobias Harris,132px,-17,90px,null,27px,+1,250px,-8,250px,-4,249px,null
Orlando Magic,Jameer Nelson,250px,-18,105px,null,145px,-8,136px,-9,363px,null
Orlando Magic,Nikola Vucevic,222px,-19,178px,null,99px,-12,77px,-5,423px,null
Orlando Magic,Maurice Harkless,133px,null,117px,-1,115px,+2,212px,null,172px,+1,249px,+10
Orlando Magic,Andrew Nicholson,133px,null,90px,-2,778px,null
Orlando Magic,E'Twaun Moore,250px,null,100px,0,400px,null,250px,+10
Orlando Magic,Victor Oladipo,249px,null,148px,+4,60px,null,40px,-6,135px,null,99px,+3,15px,null,250px,+10
Orlando Magic,Doron Lamb,743px,null,8px,+2,250px,+10
Orlando Magic,Jason Maxiell,752px,null,250px,+10
Los Angeles Clippers,Darren Collison,222px,+19,122px,null,155px,+5,235px,+6,78px,null,125px,-3,60px,null
Los Angeles Clippers,Jamal Crawford,173px,+16,48px,null,18px,+2,9px,null,249px,+8,191px,+9,152px,null,81px,+4,74px,null
Los Angeles Clippers,Jared Dudley,174px,+16,116px,null,108px,-5,101px,null,173px,+8,180px,null,85px,+5,59px,null
Los Angeles Clippers,Blake Griffin,85px,+9,164px,null,127px,-4,122px,null,205px,+6,148px,null,77px,+4,68px,null
Los Angeles Clippers,DeAndre Jordan,222px,+19,121px,null,131px,-1,24px,null,234px,+6,109px,null,86px,+2,69px,null
Los Angeles Clippers,Antawn Jamison,85px,null,164px,+9,150px,null,99px,+12,205px,null,44px,-2,104px,-14,145px,null
Los Angeles Clippers,Matt Barnes,174px,null,75px,+2,88px,+3,45px,null,116px,+12,172px,null,76px,-4,104px,-14,91px,null,53px,-1
Los Angeles Clippers,Willie Green,174px,null,75px,+2,88px,+3,360px,null,50px,-5,95px,-12,101px,null,53px,-1
Los Angeles Clippers,Ryan Hollins,221px,null,27px,-1,35px,+1,191px,null,23px,+6,241px,null,8px,-2,95px,-12,90px,null,63px,0
Los Angeles Clippers,Darius Morris,247px,null,2px,-3,491px,null,8px,-2,63px,-6,113px,null,73px,-2
Los Angeles Clippers,Byron Mullens,938px,null,64px,0
