Houston Rockets,Omer Asik,162px,-4,60px,null,25px,-4,1px,null,66px,-1,182px,null,114px,+13,96px,null,38px,-2,44px,-1,205px,null
Houston Rockets,James Harden,248px,-1,100px,null,148px,+2,2px,null,233px,+6,64px,null,179px,+4,22px,null
Houston Rockets,Dwight Howard,219px,+3,96px,null,181px,+7,2px,null,211px,+8,86px,null,179px,+4,22px,null
Houston Rockets,Jeremy Lin,122px,-6,127px,null,246px,+6,2px,null,141px,+10,94px,null,13px,0,44px,-1,151px,null,32px,+1,21px,null
Houston Rockets,Chandler Parsons,122px,-6,193px,null,181px,+7,2px,null,194px,+10,103px,null,179px,+4,22px,null
Houston Rockets,Patrick Beverley,128px,null,120px,+5,1px,null,94px,+4,118px,null,35px,-1,151px,null,100px,-4,224px,+5,23px,null
Houston Rockets,Francisco Garcia,128px,null,120px,+5,1px,null,66px,-1,376px,null,55px,-4,196px,+2,32px,null,21px,-1
Houston Rockets,Omri Casspi,163px,null,85px,+3,1px,null,208px,+7,160px,null,130px,-7,44px,-1,188px,null,16px,+1
Houston Rockets,Aaron Brooks,986px,null,16px,+1
Houston Rockets,Terrence Jones,986px,null,16px,+1
Houston Rockets,Greg Smith,986px,null,16px,+1
Portland Trail Blazers,LaMarcus Aldridge,219px,-3,129px,null,148px,-2,2px,null,194px,-10,96px,null,183px,-7,25px,null
Portland Trail Blazers,Nicolas Batum,227px,-6,145px,null,124px,+2,2px,null,249px,-6,44px,+1,54px,null,126px,-5,24px,null
Portland Trail Blazers,Damian Lillard,188px,+6,42px,null,17px,+7,1px,null,246px,-6,2px,null,235px,-4,61px,null,176px,-6,26px,null
Portland Trail Blazers,Robin Lopez,219px,-3,129px,null,85px,0,65px,null,17px,0,177px,null,39px,+4,265px,null
Portland Trail Blazers,Wesley Matthews,163px,+4,185px,null,148px,-2,2px,null,194px,-10,47px,null,8px,-2,224px,-5,24px,null
Portland Trail Blazers,Mo Williams,163px,null,85px,-3,1px,null,123px,-8,320px,null,55px,+4,224px,-5,25px,null
Portland Trail Blazers,Dorell Wright,193px,null,55px,-5,1px,null,94px,-4,118px,null,35px,+1,111px,null,139px,+4,95px,0,153px,null
Portland Trail Blazers,Meyers Leonard,222px,null,25px,+4,1px,null,93px,-4,171px,null,92px,-10,126px,null,13px,0,37px,+2,190px,null,23px,+1
Portland Trail Blazers,Thomas Robinson,223px,null,22px,+1,4px,null,94px,-4,91px,null,24px,-3,518px,null,20px,+1
Portland Trail Blazers,Will Barton,981px,null,21px,+1
Portland Trail Blazers,Victor Claver,981px,null,21px,+1
Portland Trail Blazers,Allen Crabbe,981px,null,21px,+1
