Washington Wizards,Trevor Ariza,249px,+1,109px,null,141px,-4,247px,+4,117px,null,135px,-2
Washington Wizards,Bradley Beal,141px,-2,107px,null,108px,-8,95px,null,46px,0,160px,+4,88px,null,113px,+2,62px,null,61px,-6,12px,null
Washington Wizards,Marcin Gortat,165px,-4,192px,null,106px,-2,36px,null,224px,+4,275px,null
Washington Wizards,Nene Hilario,161px,-2,145px,null,62px,-5,130px,null,72px,-3,177px,null,237px,-2,12px,null
Washington Wizards,John Wall,217px,+3,122px,null,160px,-6,224px,+4,140px,null,124px,-4,10px,null
Washington Wizards,Martell Webster,142px,null,106px,+3,1px,null,203px,-12,207px,null,85px,0,3px,null,169px,+4,79px,null
Washington Wizards,Trevor Booker,161px,null,87px,+3,1px,null,57px,-4,157px,null,35px,-2,72px,null,174px,+7,240px,null,10px,+2
Washington Wizards,Kevin Seraphin,168px,null,80px,+5,1px,null,108px,-8,16px,null,125px,-3,223px,null,23px,0,3px,null,247px,0
Washington Wizards,Garrett Temple,220px,null,28px,-2,1px,null,89px,-6,382px,null,23px,0,3px,null,114px,+2,123px,null,11px,+2
Washington Wizards,Otto Porter,990px,null,12px,+2
Los Angeles Clippers,Matt Barnes,161px,+2,152px,null,154px,+3,16px,null,15px,0,144px,-4,168px,null,80px,-1,105px,null
Los Angeles Clippers,Darren Collison,173px,+3,185px,null,127px,+4,15px,null,169px,-4,224px,null,104px,+3
Los Angeles Clippers,Blake Griffin,232px,0,107px,null,160px,+6,247px,-4,117px,null,135px,+2
Los Angeles Clippers,DeAndre Jordan,201px,0,105px,null,193px,+8,236px,-4,14px,null,249px,0
Los Angeles Clippers,J.J. Redick,142px,+2,149px,null,208px,+8,145px,-4,105px,null,249px,0
Los Angeles Clippers,Jamal Crawford,142px,null,106px,-3,1px,null,108px,+8,110px,null,30px,+2,144px,null,101px,0,3px,null,249px,0
Los Angeles Clippers,Jared Dudley,161px,null,87px,-3,1px,null,89px,+6,304px,null,102px,0,3px,null,59px,-2,189px,null
Los Angeles Clippers,Willie Green,173px,null,76px,-4,1px,null,64px,+7,354px,null,77px,0,252px,null
Los Angeles Clippers,Hedo Turkoglu,200px,null,48px,-1,1px,null,34px,+4,450px,null,11px,0,3px,null,114px,-2,134px,null
Los Angeles Clippers,Ryan Hollins,238px,null,11px,-1,1px,null,57px,+4,692px,null
