Chicago Bulls,D.J. Augustin,240px,-2,110px,null,149px,0,216px,-2,63px,null,220px,+4
Chicago Bulls,Carlos Boozer,180px,+2,230px,null,19px,-2,70px,null,250px,-3,249px,null
Chicago Bulls,Jimmy Butler,249px,-2,99px,-9,62px,null,89px,-2,249px,-3,206px,0,43px,null
Chicago Bulls,Mike Dunleavy,249px,-2,59px,-3,121px,null,70px,0,249px,-3,29px,+1,220px,null
Chicago Bulls,Joakim Noah,249px,-2,100px,null,149px,0,168px,-1,81px,null,206px,0,44px,null
Chicago Bulls,Taj Gibson,180px,null,69px,-4,160px,-7,19px,null,70px,0,168px,null,81px,-2,249px,+5
Chicago Bulls,Kirk Hinrich,240px,null,9px,0,157px,-7,308px,null,33px,-1,184px,-2,66px,null
Chicago Bulls,Nazr Mohammed,250px,null,99px,-9,608px,null,43px,+5
Chicago Bulls,Tony Snell,309px,null,121px,-6,505px,null,65px,+7
Chicago Bulls,Tornike Shengelia,959px,null,43px,+5
New Orleans Pelicans,Alexis Ajinca,38px,+5,237px,null,131px,+9,92px,null,78px,+2,299px,null,122px,-2
New Orleans Pelicans,Al-Farouq Aminu,240px,+2,170px,null,89px,+2,216px,+2,250px,null,33px,-2
New Orleans Pelicans,Anthony Davis,250px,+2,100px,null,149px,0,248px,+3,63px,null,188px,-4
New Orleans Pelicans,Eric Gordon,192px,0,170px,null,136px,0,197px,+1,181px,null,122px,-2
New Orleans Pelicans,Brian Roberts,180px,-2,230px,null,89px,+2,216px,+2,162px,null,121px,-2
New Orleans Pelicans,Greg Stiemsma,38px,null,211px,-3,26px,-2,134px,null,66px,+2,101px,null,171px,+1,61px,-1,187px,null
New Orleans Pelicans,Austin Rivers,180px,null,69px,+4,157px,+7,308px,null,33px,+1,120px,-3,130px,null
New Orleans Pelicans,Tyreke Evans,192px,null,57px,+2,157px,+7,289px,null,53px,+2,211px,-3,38px,null
New Orleans Pelicans,Anthony Morrow,240px,null,9px,0,113px,+9,352px,null,33px,+1,120px,-3,130px,null
New Orleans Pelicans,Jeff Withey,249px,null,99px,+9,134px,null,17px,0,249px,null,120px,-3,129px,null
