Sacramento Kings,Rudy Gay,176px,+1,74px,null,250px,+4,168px,+6,154px,null,176px,-4
Sacramento Kings,Aaron Gray,135px,-1,365px,null,163px,+3,337px,null
Sacramento Kings,Isaiah Thomas,250px,-3,114px,null,135px,-2,235px,+6,107px,null,157px,-5
Sacramento Kings,Jason Thompson,213px,+3,120px,null,165px,0,143px,+3,178px,null,179px,-4
Sacramento Kings,Marcus Thornton,221px,-1,140px,null,137px,-2,221px,+8,133px,null,146px,-4
Sacramento Kings,Quincy Acy,141px,null,108px,-2,393px,null,106px,+3,72px,-5,178px,null
Sacramento Kings,Derrick Williams,176px,null,74px,-4,108px,+6,314px,null,77px,0,249px,-9
Sacramento Kings,Carl Landry,213px,null,36px,-6,79px,+4,333px,null,86px,+3,72px,-5,178px,null
Sacramento Kings,Ben McLemore,226px,null,24px,-2,249px,+4,221px,null,28px,-2,104px,-5,145px,null
Sacramento Kings,Ray McCallum,250px,null,114px,+6,370px,null,15px,0,87px,-4,162px,null
San Antonio Spurs,Shannon Brown,104px,-1,72px,null,74px,+4,179px,null,28px,-2,42px,null,76px,+4,421px,null
San Antonio Spurs,Tim Duncan,175px,-1,142px,null,181px,-1,114px,-1,87px,null,48px,0,72px,+5,85px,null,91px,+2
San Antonio Spurs,Cory Joseph,175px,-1,133px,null,94px,-4,59px,null,36px,0,76px,null,153px,-10,264px,null,5px,+1
San Antonio Spurs,Tony Parker,195px,-3,122px,null,78px,0,33px,null,70px,-2,201px,-6,120px,null,177px,+4
San Antonio Spurs,Tiago Splitter,104px,-1,145px,null,68px,-3,295px,null,87px,-5,120px,null,85px,+2,92px,null
San Antonio Spurs,Marco Belinelli,104px,null,145px,+4,55px,0,57px,null,137px,+2,156px,-4,78px,null,14px,0,71px,+5,177px,null
San Antonio Spurs,Boris Diaw,104px,null,145px,+4,175px,-2,195px,null,114px,-5,86px,null,178px,+4
San Antonio Spurs,Jeff Ayres,176px,null,74px,+4,89px,-6,160px,null,121px,-1,378px,null
San Antonio Spurs,Patrick Mills,195px,null,54px,+6,68px,-3,78px,null,29px,+1,275px,null,48px,0,249px,+9
San Antonio Spurs,Matt Bonner,345px,null,12px,0,304px,null,87px,-2,245px,+8,5px,null
San Antonio Spurs,Nando De Colo,408px,null,91px,0,235px,null,15px,0,72px,+5,177px,null
