Memphis Grizzlies,Nick Calathes,249px,-2,12px,0,158px,null,79px,-8,249px,+7,241px,null,9px,-1
Memphis Grizzlies,Marc Gasol,211px,-2,150px,null,139px,-14,250px,+7,67px,null,181px,0
Memphis Grizzlies,Courtney Lee,250px,-2,156px,null,94px,-11,167px,+8,83px,null,248px,-1
Memphis Grizzlies,Tayshaun Prince,250px,-2,85px,null,135px,-13,29px,null,207px,+10,292px,null
Memphis Grizzlies,Zach Randolph,240px,-2,138px,null,120px,-14,249px,+7,66px,-1,70px,null,104px,-3,9px,null
Memphis Grizzlies,Kosta Koufos,211px,null,39px,0,111px,+1,388px,null,136px,+3,113px,null
Memphis Grizzlies,Mike Miller,246px,null,3px,0,156px,-2,261px,null,83px,-1,249px,-1
Memphis Grizzlies,Ed Davis,250px,null,129px,+1,622px,null
Memphis Grizzlies,James Johnson,249px,null,170px,-5,55px,null,24px,-2,207px,null,43px,-3,249px,-1
Memphis Grizzlies,Jamaal Franklin,262px,null,69px,+2,670px,null
Oklahoma City Thunder,Kevin Durant,249px,+2,111px,null,138px,+14,249px,-7,48px,null,198px,+3,4px,null
Oklahoma City Thunder,Serge Ibaka,246px,+2,114px,null,139px,+14,207px,-10,119px,null,173px,+1
Oklahoma City Thunder,Reggie Jackson,211px,+2,150px,null,139px,+14,122px,-10,157px,null,219px,+1
Oklahoma City Thunder,Kendrick Perkins,211px,+2,194px,null,94px,+11,110px,-8,275px,null,114px,+4
Oklahoma City Thunder,Thabo Sefolosha,210px,+2,36px,null,3px,0,129px,null,120px,+14,158px,-8,206px,null,134px,+6
Oklahoma City Thunder,Steven Adams,210px,null,39px,0,155px,+2,204px,null,139px,+1,136px,-3,114px,null
Oklahoma City Thunder,Derek Fisher,210px,null,39px,0,111px,-1,266px,null,122px,+3,30px,0,219px,null
Oklahoma City Thunder,Jeremy Lamb,210px,null,36px,0,3px,null,111px,-1,388px,null,109px,-5,140px,null
Oklahoma City Thunder,Andre Roberson,247px,null,3px,0,750px,null,0px,0
Oklahoma City Thunder,Nick Collison,250px,null,111px,-1,345px,null,43px,+3,71px,0,178px,null
Oklahoma City Thunder,Perry Jones,250px,null,129px,-1,279px,null,91px,+1,48px,-2,201px,null
