Utah Jazz,Trey Burke,215px,0,190px,null,94px,-2,245px,+13,126px,null,128px,-5
Utah Jazz,Gordon Hayward,249px,-1,164px,null,86px,-4,249px,+13,38px,-7,83px,null,128px,-5
Utah Jazz,Richard Jefferson,132px,-6,244px,null,122px,-3,192px,+8,97px,null,152px,-7,58px,null
Utah Jazz,Enes Kanter,132px,-6,117px,null,250px,-3,159px,+6,131px,null,209px,-10
Utah Jazz,Marvin Williams,215px,0,199px,null,86px,-4,193px,+8,158px,null,147px,-7
Utah Jazz,Alec Burks,132px,null,117px,+5,164px,+1,282px,null,52px,+5,121px,-12,76px,null,52px,-3
Utah Jazz,Rudy Gobert,132px,null,117px,+5,416px,null,83px,+7,38px,-7,212px,null
Utah Jazz,Jeremy Evans,215px,null,35px,-1,164px,+1,282px,null,52px,+5,101px,-10,148px,null
Utah Jazz,Diante Garrett,215px,null,35px,-1,155px,-1,341px,null,2px,0,121px,-12,128px,null
Utah Jazz,Brandon Rush,250px,null,128px,0,623px,null
Portland Trail Blazers,Nicolas Batum,215px,0,482px,null,52px,-5,251px,+17
Portland Trail Blazers,Damian Lillard,215px,0,162px,null,122px,+3,139px,-3,70px,null,40px,-3,249px,+17
Portland Trail Blazers,Robin Lopez,157px,+4,92px,null,250px,+3,108px,-4,141px,null,250px,+17
Portland Trail Blazers,Wesley Matthews,215px,0,174px,null,111px,+2,193px,-8,142px,null,163px,+9
Portland Trail Blazers,Dorell Wright,157px,+4,205px,null,136px,+1,0px,null,139px,-3,361px,null
Portland Trail Blazers,Thomas Robinson,157px,null,92px,-3,358px,null,142px,-9,250px,null
Portland Trail Blazers,Mo Williams,157px,null,92px,-3,178px,+4,211px,null,110px,-10,250px,+17
Portland Trail Blazers,Will Barton,214px,null,35px,+1,138px,+1,111px,null,108px,-4,141px,null,83px,+8,166px,null
Portland Trail Blazers,Victor Claver,215px,null,35px,+1,113px,+2,276px,null,66px,-7,293px,null
Portland Trail Blazers,C.J. McCollum,215px,null,35px,+1,127px,0,230px,null,141px,-9,250px,null
Portland Trail Blazers,Allen Crabbe,429px,null,72px,-1,500px,null
