Brooklyn Nets,Joe Johnson,248px,+12,141px,null,109px,+6,243px,-4,6px,null,58px,-4,129px,null,62px,-3
Brooklyn Nets,Andrei Kirilenko,112px,+11,138px,null,250px,+4,185px,-7,123px,null,190px,-2
Brooklyn Nets,Paul Pierce,208px,+13,182px,null,109px,+6,203px,-7,121px,null,175px,0
Brooklyn Nets,Mason Plumlee,111px,+11,40px,null,97px,-5,1px,null,32px,-4,217px,null,121px,-8,377px,null
Brooklyn Nets,Deron Williams,191px,+15,59px,null,250px,+4,203px,-7,121px,null,174px,0
Brooklyn Nets,Andray Blatche,111px,null,40px,+6,223px,null,122px,+1,127px,null,116px,+4,6px,null,74px,-6,128px,null,20px,+1,14px,null,11px,-2
Brooklyn Nets,Marquis Teague,111px,null,137px,+1,453px,null,41px,+3,6px,null,74px,-6,175px,null
Brooklyn Nets,Alan Anderson,190px,null,58px,-3,1px,null,140px,-2,293px,null,59px,+3,6px,null,182px,-3,66px,null
Brooklyn Nets,Mirza Teletovic,207px,null,41px,-1,1px,null,140px,-2,311px,null,40px,+3,6px,null,74px,-6,175px,null
Brooklyn Nets,Jason Collins,288px,null,81px,+7,453px,null,121px,+1,29px,null,11px,0,14px,null
Los Angeles Lakers,Kent Bazemore,149px,-17,212px,null,138px,-1,203px,+7,176px,null,120px,+5
Los Angeles Lakers,Pau Gasol,191px,-15,186px,null,123px,-1,185px,+7,211px,null,102px,+5
Los Angeles Lakers,Wesley Johnson,150px,-17,350px,null,220px,+7,268px,null,11px,+2
Los Angeles Lakers,Kendall Marshall,150px,-17,212px,null,138px,-1,185px,+7,314px,null
Los Angeles Lakers,Jodie Meeks,208px,-13,182px,null,109px,-6,185px,+7,211px,null,103px,+5
Los Angeles Lakers,Jordan Farmar,149px,null,99px,+5,1px,null,112px,-3,321px,null,59px,-3,6px,null,235px,+4,13px,null
Los Angeles Lakers,Jordan Hill,149px,null,99px,+5,1px,null,249px,-4,219px,null,24px,-3,6px,null,235px,+4,13px,null
Los Angeles Lakers,Nick Young,149px,null,99px,+5,1px,null,112px,-3,321px,null,59px,-3,6px,null,129px,+1,119px,null
Los Angeles Lakers,Chris Kaman,190px,null,58px,+3,1px,null,120px,-3,313px,null,59px,-3,6px,null,146px,+1,102px,null
Los Angeles Lakers,MarShon Brooks,207px,null,41px,+1,1px,null,140px,+2,311px,null,40px,-3,6px,null,146px,+1,91px,null,11px,+2
