Indiana Pacers,Paul George,250px,+2,198px,null,51px,-3,250px,+7,50px,null,199px,-1
Indiana Pacers,Roy Hibbert,250px,+2,198px,null,51px,-3,163px,+6,137px,null,199px,-1
Indiana Pacers,George Hill,130px,+7,119px,null,250px,-4,148px,+8,234px,null,117px,-3
Indiana Pacers,Lance Stephenson,130px,+7,119px,null,250px,-4,191px,+7,59px,null,249px,0
Indiana Pacers,David West,159px,+4,190px,null,151px,+1,250px,+7,132px,null,116px,-3
Indiana Pacers,Solomon Hill,131px,null,119px,-5,19px,-3,731px,null
Indiana Pacers,C.J. Watson,130px,null,119px,-5,402px,null,97px,-1,129px,+3,121px,null
Indiana Pacers,Luis Scola,159px,null,90px,-2,95px,-5,404px,null,132px,+3,118px,null
Indiana Pacers,Ian Mahinmi,250px,null,198px,-1,214px,null,87px,+1,47px,+1,202px,null
Indiana Pacers,Orlando Johnson,277px,null,171px,+2,242px,null,59px,0,47px,+1,202px,null
Brooklyn Nets,Kevin Garnett,105px,-9,144px,null,85px,+3,113px,null,51px,+3,102px,-11,146px,null,129px,-3,29px,null,90px,+3
Brooklyn Nets,Joe Johnson,250px,-2,198px,null,51px,+3,250px,-7,132px,null,117px,+3
Brooklyn Nets,Brook Lopez,249px,-2,198px,null,51px,+3,162px,-6,132px,null,198px,+3,7px,null
Brooklyn Nets,Paul Pierce,105px,-9,171px,null,222px,+1,148px,-8,154px,null,198px,+1
Brooklyn Nets,Deron Williams,190px,-6,177px,null,132px,-1,171px,-4,140px,null,188px,+3
Brooklyn Nets,Alan Anderson,112px,null,137px,+7,19px,+3,382px,null,96px,+1,52px,-1,80px,null,20px,0,97px,null
Brooklyn Nets,Andray Blatche,112px,null,137px,+7,85px,null,113px,-2,154px,null,146px,+4,250px,null
Brooklyn Nets,Shaun Livingston,190px,null,59px,+4,118px,+5,303px,null,78px,-3,62px,-3,187px,null
Brooklyn Nets,Mason Plumlee,250px,null,198px,+1,214px,null,87px,-1,40px,-1,209px,null
Brooklyn Nets,Jason Terry,250px,null,198px,+1,301px,null,129px,-3,114px,null,6px,-2
