Cleveland Cavaliers,Luol Deng,249px,-1,87px,null,162px,-2,0px,null,249px,-3,137px,null,113px,+9
Cleveland Cavaliers,Spencer Hawes,199px,-2,47px,null,2px,0,102px,null,146px,-2,0px,null,193px,-6,54px,null,2px,0,136px,null,112px,+9
Cleveland Cavaliers,Kyrie Irving,249px,-1,61px,null,188px,-3,0px,null,193px,-6,48px,null,7px,0,1px,null,248px,+14
Cleveland Cavaliers,Jarrett Jack,249px,-1,58px,+3,29px,null,146px,+3,16px,null,249px,-3,154px,null,95px,+9
Cleveland Cavaliers,Tristan Thompson,249px,-1,103px,null,146px,-2,0px,null,248px,-3,138px,null,113px,+9
Cleveland Cavaliers,Tyler Zeller,204px,null,43px,+1,2px,null,103px,+2,340px,null,56px,+3,137px,+5,111px,null
Cleveland Cavaliers,Anthony Bennett,250px,null,103px,+2,396px,null,137px,+5,113px,null
Cleveland Cavaliers,Matthew Dellavedova,248px,null,87px,+2,146px,null,16px,-5,193px,null,48px,+3,7px,null,1px,0,147px,+5,101px,null
Cleveland Cavaliers,Alonzo Gee,250px,null,87px,+2,412px,null,137px,+5,113px,null
Oklahoma City Thunder,Steven Adams,247px,+1,189px,null,62px,-1,0px,null,146px,+5,288px,null,65px,-4
Oklahoma City Thunder,Kevin Durant,247px,+1,89px,null,162px,+2,0px,null,249px,+3,51px,null,199px,-12
Oklahoma City Thunder,Serge Ibaka,199px,+2,153px,null,146px,+2,0px,null,249px,+3,50px,-2,50px,null,149px,-6
Oklahoma City Thunder,Thabo Sefolosha,199px,+2,212px,null,87px,-6,0px,null,167px,+2,164px,null,168px,-13
Oklahoma City Thunder,Russell Westbrook,137px,+2,199px,null,162px,+2,0px,null,125px,+9,175px,null,199px,-12
Oklahoma City Thunder,Reggie Jackson,137px,null,113px,-1,183px,+1,191px,null,124px,-6,74px,-1,175px,null
Oklahoma City Thunder,Nick Collison,204px,null,45px,-1,103px,-2,298px,null,98px,-2,100px,-8,149px,null
Oklahoma City Thunder,Perry Jones,205px,null,45px,-1,87px,-2,663px,null
Oklahoma City Thunder,Derek Fisher,247px,null,2px,0,155px,+6,344px,null,185px,-10,65px,null
Oklahoma City Thunder,Jeremy Lamb,247px,null,2px,0,87px,-2,329px,null,82px,+1,51px,-2,199px,null
