Denver Nuggets,Aaron Brooks,152px,-6,97px,null,74px,-1,175px,null,169px,-4,80px,null,132px,0,117px,null
Denver Nuggets,Wilson Chandler,211px,-7,140px,null,148px,-1,235px,-3,147px,null,117px,+5
Denver Nuggets,Kenneth Faried,172px,-8,149px,null,178px,-1,194px,-1,187px,null,118px,+5
Denver Nuggets,Randy Foye,249px,-8,80px,null,170px,+1,250px,-3,71px,null,178px,0
Denver Nuggets,Timofey Mozgov,193px,-5,180px,null,127px,-2,82px,+3,417px,null
Denver Nuggets,Evan Fournier,156px,null,93px,-2,1px,null,247px,+2,172px,null,80px,+1,248px,+5
Denver Nuggets,J.J. Hickson,172px,null,77px,0,1px,null,123px,+2,215px,null,161px,-6,248px,+5
Denver Nuggets,Darrell Arthur,193px,null,56px,-3,1px,null,71px,+1,377px,null,50px,-2,132px,0,116px,null
Denver Nuggets,Quincy Miller,213px,null,35px,-1,1px,null,96px,+1,151px,null,2px,-2,234px,null,15px,0,71px,+5,176px,null
Portland Trail Blazers,LaMarcus Aldridge,171px,+8,77px,null,96px,-1,92px,null,61px,+2,168px,+4,112px,null,60px,+3,91px,null,66px,-5
Portland Trail Blazers,Nicolas Batum,249px,+8,157px,null,94px,-2,250px,+3,92px,null,156px,-3
Portland Trail Blazers,Damian Lillard,193px,+5,128px,null,178px,+1,201px,0,141px,null,157px,-3
Portland Trail Blazers,Robin Lopez,152px,+6,168px,null,178px,+1,148px,+3,173px,null,179px,0
Portland Trail Blazers,Wesley Matthews,152px,+6,168px,null,178px,+1,148px,+3,173px,null,179px,0
Portland Trail Blazers,Meyers Leonard,156px,null,93px,+2,1px,null,71px,-1,325px,null,101px,0,71px,-5,178px,null
Portland Trail Blazers,Mo Williams,156px,null,93px,+2,1px,null,156px,+2,241px,null,101px,0,183px,0,65px,null
Portland Trail Blazers,Dorell Wright,172px,null,77px,0,1px,null,71px,-1,347px,null,80px,-1,71px,-5,177px,null
Portland Trail Blazers,Will Barton,193px,null,56px,+3,1px,null,71px,-1,379px,null,48px,+3,92px,-2,156px,null
Portland Trail Blazers,Victor Claver,351px,null,87px,-1,311px,null,32px,-5,218px,null
