Philadelphia 76ers,James Anderson,184px,-8,60px,null,5px,-2,79px,null,168px,-4,2px,null,149px,-8,157px,null,50px,-2,140px,null
Philadelphia 76ers,Michael Carter-Williams,178px,-6,113px,null,207px,-4,185px,-5,146px,null,107px,-1,61px,null
Philadelphia 76ers,Henry Sims,136px,-9,113px,null,79px,+2,124px,null,46px,0,126px,-5,162px,null,150px,-8,59px,null
Philadelphia 76ers,Hollis Thompson,137px,-9,227px,null,136px,-8,126px,-5,235px,null,137px,-4
Philadelphia 76ers,Thaddeus Young,221px,-9,23px,null,5px,-2,79px,null,93px,-7,77px,null,77px,-2,186px,null,78px,-9,155px,null
Philadelphia 76ers,Jarvis Varnado,136px,null,108px,-3,84px,null,124px,-4,172px,null,123px,-1,11px,0,238px,null
Philadelphia 76ers,Tony Wroten,136px,null,113px,-5,113px,+6,134px,null,2px,0,126px,null,123px,-1,107px,-7,141px,null
Philadelphia 76ers,Eric Maynor,179px,null,71px,-8,38px,+2,401px,null,60px,-1,82px,-8,166px,null
Philadelphia 76ers,Elliot Williams,189px,null,60px,-6,79px,+2,325px,null,94px,+2,57px,-5,132px,null,60px,-2
Philadelphia 76ers,Lorenzo Brown,223px,null,22px,-3,617px,null,138px,-4
Philadelphia 76ers,Byron Mullens,249px,null,79px,+2,93px,null,77px,+3,77px,null,171px,-4,33px,-1,156px,null,60px,-2
Philadelphia 76ers,Arnett Moultrie,844px,null,158px,-2
Oklahoma City Thunder,Steven Adams,185px,+8,315px,null,127px,+5,373px,null
Oklahoma City Thunder,Kevin Durant,250px,+14,66px,null,183px,+4,250px,+6,250px,null
Oklahoma City Thunder,Serge Ibaka,211px,+11,153px,null,136px,+8,220px,+4,279px,null
Oklahoma City Thunder,Perry Jones,136px,+9,108px,null,5px,+2,66px,null,183px,+4,126px,+5,234px,null,138px,+4
Oklahoma City Thunder,Russell Westbrook,137px,+9,227px,null,136px,+8,150px,+8,349px,null
Oklahoma City Thunder,Caron Butler,136px,null,113px,+5,113px,-6,59px,null,77px,-3,126px,null,123px,+1,107px,+7,141px,null
Oklahoma City Thunder,Reggie Jackson,137px,null,113px,+5,66px,-2,339px,null,94px,-2,249px,+11
Oklahoma City Thunder,Jeremy Lamb,189px,null,60px,+6,66px,-2,516px,null,168px,+3
Oklahoma City Thunder,Nick Collison,217px,null,27px,+1,5px,null,113px,-6,362px,null,23px,+2,82px,+8,167px,null
Oklahoma City Thunder,Derek Fisher,250px,null,173px,+5,327px,null,83px,+8,166px,null
Oklahoma City Thunder,Hasheem Thabeet,627px,null,123px,+1,251px,+11
Oklahoma City Thunder,Andre Roberson,834px,null,168px,+3
