Atlanta Hawks,Elton Brand,138px,0,170px,null,112px,-6,78px,null,82px,-4,167px,null,74px,-3,175px,null
Atlanta Hawks,DeMarre Carroll,236px,-10,131px,null,133px,-10,161px,-1,338px,null
Atlanta Hawks,Kyle Korver,229px,-8,166px,null,104px,-4,250px,-6,250px,null
Atlanta Hawks,Mike Scott,141px,0,108px,null,71px,+4,178px,null,141px,-4,108px,null,250px,0
Atlanta Hawks,Jeff Teague,193px,-7,164px,null,143px,-10,186px,-1,313px,null
Atlanta Hawks,Mike Muscala,141px,null,51px,-7,135px,null,39px,-2,273px,null,5px,0,76px,null,27px,-4,75px,null,172px,+3
Atlanta Hawks,Louis Williams,142px,null,108px,-10,751px,null
Atlanta Hawks,Pero Antic,192px,null,57px,-3,55px,+4,116px,null,78px,-6,82px,null,140px,+2,276px,null
Atlanta Hawks,Shelvin Mack,192px,null,57px,-3,107px,+2,38px,null,104px,-4,146px,null,103px,-2,249px,0
Atlanta Hawks,Dennis Schroder,229px,null,21px,-2,145px,-4,290px,null,64px,-5,249px,0
Atlanta Hawks,Cartier Martin,242px,null,8px,0,145px,-4,267px,null,87px,-5,249px,0
Portland Trail Blazers,LaMarcus Aldridge,126px,+3,102px,null,21px,+2,99px,-2,72px,null,78px,+6,140px,+4,44px,null,63px,+5,74px,+3,174px,null
Portland Trail Blazers,Nicolas Batum,229px,+8,120px,null,150px,+10,231px,+4,269px,null
Portland Trail Blazers,Damian Lillard,192px,+7,50px,null,8px,0,117px,null,133px,+10,186px,+1,311px,null
Portland Trail Blazers,Robin Lopez,154px,+2,195px,null,150px,+10,186px,+1,314px,null
Portland Trail Blazers,Wesley Matthews,161px,+4,154px,null,185px,+14,250px,+6,249px,null
Portland Trail Blazers,Mo Williams,134px,null,116px,+7,171px,+2,219px,null,108px,+2,122px,+3,127px,null
Portland Trail Blazers,Meyers Leonard,154px,null,88px,+8,8px,null,99px,-2,474px,null,175px,-3
Portland Trail Blazers,Dorell Wright,168px,null,81px,+6,64px,-6,370px,null,64px,+5,122px,+3,128px,null
Portland Trail Blazers,C.J. McCollum,192px,null,57px,+3,117px,-2,365px,null,17px,+2,250px,0
Portland Trail Blazers,Will Barton,752px,null,250px,0
Portland Trail Blazers,Victor Claver,874px,null,128px,-3
Portland Trail Blazers,Allen Crabbe,874px,null,128px,-3
