Miami Heat,Shane Battier,154px,-6,346px,null,179px,-1,321px,null
Miami Heat,Chris Bosh,205px,-14,119px,null,174px,+5,1px,null,178px,-1,130px,null,154px,-4,35px,null
Miami Heat,Mario Chalmers,205px,-14,160px,null,114px,-3,19px,null,178px,-1,130px,null,60px,-3,130px,null
Miami Heat,LeBron James,249px,-15,99px,null,149px,+3,1px,null,231px,+6,77px,null,154px,-4,36px,null
Miami Heat,Dwyane Wade,153px,-6,96px,null,164px,+5,38px,null,46px,+3,1px,null,154px,+1,82px,null,12px,-3,212px,-8,35px,null
Miami Heat,Ray Allen,156px,null,93px,-9,99px,+1,139px,null,10px,0,161px,null,88px,+2,59px,-4,60px,null,94px,-1,34px,null
Miami Heat,Chris Andersen,156px,null,93px,-9,70px,-1,362px,null,66px,+4,119px,-7,131px,null
Miami Heat,Michael Beasley,205px,null,44px,-1,99px,+1,126px,null,23px,+5,184px,null,66px,+4,59px,-4,60px,null,128px,-9
Miami Heat,Norris Cole,204px,null,44px,-1,116px,+3,55px,null,27px,-4,34px,null,5px,+4,193px,null,65px,+4,59px,-4,153px,null,37px,-8
Miami Heat,Greg Oden,350px,null,118px,-2,533px,null
Miami Heat,Toney Douglas,966px,null,36px,-8
Miami Heat,Udonis Haslem,966px,null,36px,-8
Miami Heat,Rashard Lewis,966px,null,36px,-8
San Antonio Spurs,Boris Diaw,248px,+15,145px,null,102px,-3,1px,null,178px,+1,32px,null,39px,+3,35px,+3,24px,null,153px,+4,36px,null
San Antonio Spurs,Tim Duncan,205px,+14,143px,null,149px,-3,1px,null,214px,-6,126px,null,122px,+2,36px,null
San Antonio Spurs,Danny Green,118px,+8,131px,null,99px,-1,150px,null,48px,+1,135px,null,66px,-4,96px,+6,152px,null
San Antonio Spurs,Kawhi Leonard,153px,+6,195px,null,118px,+2,33px,null,203px,-6,105px,null,154px,+4,35px,null
San Antonio Spurs,Tony Parker,209px,+12,156px,null,132px,-1,1px,null,191px,-2,155px,null,117px,+2,35px,null
San Antonio Spurs,Manu Ginobili,118px,null,131px,+7,59px,+1,86px,null,19px,-4,220px,null,113px,0,59px,+4,123px,null,30px,+2,35px,null
San Antonio Spurs,Marco Belinelli,155px,null,7px,0,42px,null,44px,+1,144px,-1,26px,null,12px,+2,18px,null,46px,-3,48px,null,87px,-4,148px,null,24px,+1,37px,null,84px,0,66px,null
San Antonio Spurs,Tiago Splitter,163px,null,86px,+9,145px,-1,79px,null,23px,-5,215px,null,35px,+3,91px,+6,158px,null
San Antonio Spurs,Patrick Mills,216px,null,33px,+3,116px,-3,76px,null,6px,+2,240px,null,58px,-1,96px,+6,117px,null,36px,+8
San Antonio Spurs,Cory Joseph,310px,null,40px,-2,615px,null,35px,+8
San Antonio Spurs,Aron Baynes,966px,null,36px,+8
San Antonio Spurs,Matt Bonner,966px,null,36px,+8
San Antonio Spurs,Austin Daye,966px,null,36px,+8
