Atlanta Hawks,Pero Antic,124px,0,164px,null,160px,-2,51px,null,132px,-6,171px,null,195px,+10
Atlanta Hawks,DeMarre Carroll,242px,+7,160px,null,97px,-3,217px,-8,145px,null,137px,+8
Atlanta Hawks,Kyle Korver,209px,+2,164px,null,126px,-3,187px,-7,116px,null,196px,+10
Atlanta Hawks,Paul Millsap,146px,+5,142px,null,209px,-4,2px,null,132px,-6,171px,null,195px,+10
Atlanta Hawks,Jeff Teague,209px,+2,164px,null,126px,-3,145px,-7,158px,null,196px,+10
Atlanta Hawks,Elton Brand,124px,null,118px,+7,7px,null,31px,-2,167px,null,51px,-2,131px,null,117px,-5,53px,-1,195px,null
Atlanta Hawks,Mike Scott,146px,null,96px,+2,7px,null,31px,-2,216px,null,2px,0,131px,null,117px,-5,53px,-1,195px,null
Atlanta Hawks,Shelvin Mack,213px,null,28px,+5,7px,null,152px,-3,246px,null,100px,-4,112px,+1,138px,null
Atlanta Hawks,Dennis Schroder,213px,null,28px,+5,7px,null,123px,-3,313px,null,62px,-4,54px,-1,196px,null
Atlanta Hawks,Cartier Martin,250px,null,123px,-3,343px,null,33px,-3,54px,-1,195px,null
Los Angeles Clippers,Matt Barnes,209px,-2,155px,null,135px,+5,211px,+7,151px,null,137px,-8
Los Angeles Clippers,Darren Collison,146px,-5,95px,null,0px,0,7px,null,249px,+6,158px,+5,58px,null,32px,+3,250px,-9
Los Angeles Clippers,Blake Griffin,237px,-7,127px,null,135px,+5,249px,+11,28px,-2,84px,null,137px,-8
Los Angeles Clippers,DeAndre Jordan,208px,-2,142px,null,145px,+6,2px,null,202px,+7,158px,null,75px,-6,45px,null,18px,-1
Los Angeles Clippers,Chris Paul,237px,-7,114px,null,148px,+6,217px,+8,145px,null,137px,-8
Los Angeles Clippers,Jamal Crawford,146px,null,96px,-2,7px,null,94px,0,153px,null,2px,0,499px,null
Los Angeles Clippers,Glen Davis,213px,null,28px,-5,7px,null,45px,+2,406px,null,46px,+4,112px,-1,75px,null,45px,-1,17px,null
Los Angeles Clippers,Danny Granger,213px,null,28px,-5,7px,null,114px,+1,345px,null,38px,+4,112px,-1,139px,null
Los Angeles Clippers,Hedo Turkoglu,242px,null,0px,0,7px,null,115px,+1,414px,null,82px,+1,137px,null
Los Angeles Clippers,Ryan Hollins,295px,null,49px,-2,657px,null
Los Angeles Clippers,Willie Green,659px,null,91px,+6,112px,-1,138px,null
