Phoenix Suns,Goran Dragic,205px,+8,42px,null,1px,-2,73px,null,175px,-4,1px,null,181px,-16,104px,null,213px,+6
Phoenix Suns,Channing Frye,153px,+4,243px,null,100px,+1,1px,null,89px,-3,130px,null,22px,-2,4px,null,2px,0,0px,null,249px,+10
Phoenix Suns,Gerald Green,248px,+7,0px,null,73px,+2,75px,null,100px,+1,1px,null,248px,-21,0px,null,32px,+4,46px,null,170px,+9
Phoenix Suns,Alex Len,154px,+4,169px,null,69px,-5,107px,null,90px,-3,409px,null
Phoenix Suns,P.J. Tucker,221px,+10,127px,null,149px,-3,1px,null,158px,-14,85px,null,4px,0,235px,null,15px,0
Phoenix Suns,Markieff Morris,154px,null,95px,+3,0px,null,142px,-3,197px,null,159px,-18,0px,null,78px,+1,170px,null
Phoenix Suns,Miles Plumlee,154px,null,93px,+5,2px,null,73px,+2,266px,null,43px,-7,366px,null
Phoenix Suns,Ish Smith,211px,null,37px,-1,0px,null,99px,+1,286px,null,112px,-11,0px,null,233px,+10,17px,null
Phoenix Suns,Marcus Morris,221px,null,28px,-3,0px,null,248px,-2,182px,null,67px,-5,0px,null,250px,+10
Phoenix Suns,Shavlik Randolph,659px,null,63px,-5,279px,null
Golden State Warriors,Andrew Bogut,154px,-4,282px,null,50px,+2,14px,null,90px,+3,408px,null
Golden State Warriors,Stephen Curry,134px,-4,198px,null,162px,+7,3px,null,181px,+16,61px,null,4px,0,102px,null,146px,-8,3px,null
Golden State Warriors,Andre Iguodala,205px,-8,152px,null,140px,+5,1px,null,132px,+10,114px,null,2px,0,0px,null,249px,-10
Golden State Warriors,David Lee,194px,-8,129px,null,113px,+6,64px,null,243px,+21,33px,null,221px,-8
Golden State Warriors,Klay Thompson,153px,-4,94px,null,1px,+2,73px,null,175px,+4,1px,null,248px,+21,0px,null,21px,-2,107px,null,120px,-3
Golden State Warriors,Steve Blake,134px,null,114px,-3,0px,null,84px,-2,301px,null,112px,+11,0px,null,99px,-4,146px,null,4px,+2
Golden State Warriors,Harrison Barnes,153px,null,94px,-3,0px,null,247px,+2,181px,null,67px,+5,0px,null,169px,-9,9px,null,66px,-2,0px,null,6px,+2
Golden State Warriors,Jermaine O'Neal,154px,null,94px,-5,2px,null,73px,-2,676px,null
Golden State Warriors,Draymond Green,195px,null,52px,+1,0px,null,104px,-3,132px,null,11px,-4,90px,null,158px,+18,0px,null,128px,-7,41px,null,3px,-1,77px,null
Golden State Warriors,Jordan Crawford,212px,null,37px,+1,0px,null,73px,-2,677px,null
