Philadelphia 76ers,James Anderson,198px,+9,154px,null,145px,-4,1px,null,185px,-3,64px,null,125px,-13,55px,null,68px,+3
Philadelphia 76ers,Michael Carter-Williams,214px,+6,138px,null,145px,-4,1px,null,199px,-3,96px,null,204px,+1
Philadelphia 76ers,Henry Sims,136px,+3,113px,null,103px,-1,68px,null,76px,+2,1px,null,27px,0,267px,null,71px,-5,132px,null
Philadelphia 76ers,Hollis Thompson,136px,+3,284px,null,76px,+2,1px,null,184px,-3,63px,null,0px,0,22px,null,24px,-2,155px,null,48px,+3
Philadelphia 76ers,Thaddeus Young,249px,+5,70px,null,178px,-8,1px,null,247px,-6,48px,null,155px,-2,48px,null
Philadelphia 76ers,Jarvis Varnado,142px,null,106px,+2,103px,null,64px,-6,115px,null,76px,-4,139px,null,46px,-8,204px,null
Philadelphia 76ers,Tony Wroten,143px,null,107px,+2,168px,-7,271px,null,60px,-3,249px,-7
Philadelphia 76ers,Elliot Williams,203px,null,45px,-4,103px,-1,334px,null,60px,-3,46px,-8,79px,null,55px,+3,70px,null
Philadelphia 76ers,Eric Maynor,215px,null,35px,-1,104px,-1,345px,null,50px,-3,249px,null
Philadelphia 76ers,Byron Mullens,250px,null,71px,+3,680px,null
Philadelphia 76ers,Arnett Moultrie,609px,null,140px,-2,15px,-6,103px,null,132px,+6
New York Knicks,Carmelo Anthony,250px,-5,70px,null,175px,+10,5px,null,243px,+8,255px,null
New York Knicks,Raymond Felton,199px,-9,161px,null,139px,+2,1px,null,228px,+8,270px,null
New York Knicks,Iman Shumpert,166px,-9,82px,null,176px,+7,68px,null,4px,-2,1px,null,124px,+4,84px,null,40px,0,132px,+13,116px,null
New York Knicks,J.R. Smith,249px,-5,70px,null,174px,+10,4px,null,203px,+6,45px,null,0px,0,180px,+10,70px,null
New York Knicks,Amar'e Stoudemire,214px,-6,105px,null,174px,+10,4px,null,103px,+4,146px,null,125px,+13,125px,null
New York Knicks,Tim Hardaway,167px,null,82px,+4,70px,-3,110px,null,68px,-2,125px,null,125px,+2,249px,+7
New York Knicks,Pablo Prigioni,204px,null,45px,+4,110px,+3,367px,null,19px,-2,2px,null,133px,+13,116px,null
New York Knicks,Jeremy Tyler,214px,null,35px,+1,70px,-3,282px,null,146px,+2,125px,null,125px,-6
New York Knicks,Earl Clark,250px,null,70px,-3,175px,null,4px,-2,430px,null,69px,-3
New York Knicks,Shannon Brown,494px,null,4px,-2,248px,null,2px,-2,141px,null,109px,-6
New York Knicks,Toure' Murry,893px,null,109px,-6
