Washington Wizards,Trevor Ariza,149px,+2,93px,null,210px,+8,204px,+3,137px,null,111px,-9,94px,-1
Washington Wizards,Bradley Beal,226px,-3,14px,0,134px,null,78px,+6,226px,+3,114px,+1,71px,null,40px,-6,93px,-1
Washington Wizards,Marcin Gortat,213px,-3,101px,null,138px,+7,226px,+3,164px,null,62px,-10,94px,-1
Washington Wizards,Nene Hilario,149px,+2,120px,null,105px,-1,78px,null,175px,+2,166px,null,49px,+1,155px,null
Washington Wizards,John Wall,169px,+2,100px,null,183px,+5,190px,+2,151px,null,111px,-9,94px,-1
Washington Wizards,Al Harrington,152px,null,74px,-5,87px,+1,137px,null,2px,+3,174px,null,51px,+1,204px,-7,115px,null
Washington Wizards,Martell Webster,152px,null,74px,-5,148px,+2,285px,null,18px,0,185px,-2,18px,null,22px,-1,94px,-1
Washington Wizards,Eric Maynor,169px,null,57px,-5,43px,+3,373px,null,36px,+1,115px,+1,205px,null
Washington Wizards,Kevin Seraphin,217px,null,8px,0,43px,+3,105px,null,76px,+3,227px,null,114px,+1,207px,null
Oklahoma City Thunder,Kevin Durant,226px,+3,88px,null,138px,-7,226px,-3,45px,null,181px,+7,94px,+1
Oklahoma City Thunder,Serge Ibaka,149px,-2,111px,null,192px,-5,204px,-3,22px,null,226px,+8,94px,+1
Oklahoma City Thunder,Kendrick Perkins,145px,-1,230px,null,78px,-6,141px,-1,406px,null
Oklahoma City Thunder,Thabo Sefolosha,181px,0,161px,null,110px,-4,175px,-2,166px,null,111px,+9,94px,+1
Oklahoma City Thunder,Russell Westbrook,157px,0,157px,null,138px,-7,175px,-2,121px,null,94px,0,156px,null
Oklahoma City Thunder,Steven Adams,145px,null,81px,+4,87px,-1,279px,null,86px,-2,115px,-1,205px,null
Oklahoma City Thunder,Perry Jones,152px,null,74px,+5,34px,-3,400px,null,18px,0,130px,-3,190px,null
Oklahoma City Thunder,Reggie Jackson,163px,null,62px,+3,148px,-2,252px,null,51px,-1,69px,-2,61px,null,95px,+11,95px,+1
Oklahoma City Thunder,Jeremy Lamb,180px,null,45px,+3,87px,-1,313px,null,51px,-1,42px,+1,121px,null,62px,+10,95px,+1
Oklahoma City Thunder,Derek Fisher,227px,null,116px,-4,659px,null
