Houston Rockets,Patrick Beverley,168px,-2,151px,null,122px,-11,59px,null,65px,+1,277px,null,155px,+4
Houston Rockets,James Harden,250px,-2,95px,null,155px,-9,250px,+5,249px,+2
Houston Rockets,Dwight Howard,191px,-1,120px,null,189px,-12,155px,-1,198px,null,145px,+2
Houston Rockets,Terrence Jones,146px,0,164px,null,122px,-13,67px,null,155px,-1,344px,null
Houston Rockets,Chandler Parsons,206px,-3,44px,null,250px,-13,250px,+5,249px,+2
Houston Rockets,Donatas Motiejunas,152px,null,98px,-2,57px,-1,693px,null
Houston Rockets,Jeremy Lin,170px,null,79px,0,69px,-3,118px,null,62px,+1,65px,null,184px,+4,90px,-2,158px,null
Houston Rockets,Omer Asik,190px,null,59px,-1,57px,-1,355px,null,86px,+6,104px,0,146px,null
Houston Rockets,Jordan Hamilton,206px,null,43px,+1,89px,-4,106px,null,54px,+1,500px,null
Houston Rockets,Francisco Garcia,664px,null,87px,+6,250px,+2
Oklahoma City Thunder,Steven Adams,121px,-4,60px,null,22px,+1,119px,null,176px,+11,163px,-1,336px,null
Oklahoma City Thunder,Kevin Durant,250px,+2,69px,null,181px,+10,250px,-5,53px,null,195px,+3
Oklahoma City Thunder,Serge Ibaka,190px,+1,57px,null,2px,0,72px,+2,86px,null,73px,+5,18px,null,183px,-4,93px,null,220px,-2
Oklahoma City Thunder,Perry Jones,121px,-4,249px,null,129px,+6,155px,+1,94px,null,53px,-5,196px,null
Oklahoma City Thunder,Russell Westbrook,143px,-3,201px,null,155px,+9,155px,+1,176px,null,168px,-2
Oklahoma City Thunder,Caron Butler,124px,null,125px,+6,121px,+7,292px,null,86px,-6,250px,-2
Oklahoma City Thunder,Hasheem Thabeet,124px,null,52px,+5,492px,null,80px,-4,20px,0,230px,null
Oklahoma City Thunder,Reggie Jackson,144px,null,106px,+5,150px,+10,263px,null,86px,-6,82px,0,166px,null
Oklahoma City Thunder,Derek Fisher,190px,null,59px,+1,89px,+4,142px,null,18px,-2,183px,null,66px,-1,249px,-2
Oklahoma City Thunder,Nick Collison,206px,null,33px,0,762px,null
Oklahoma City Thunder,Jeremy Lamb,250px,null,69px,+3,682px,null
